time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.090,0.920,0.420,0.302,0.458,0.833,0.868,0.241,0.162,0.762,0.265,0.909,0.649,1.000
0.141,0.920,0.420,0.292,0.364,0.774,0.801,0.294,0.040,0.729,0.457,0.705,0.554,1.000
0.063,0.920,0.840,0.274,0.421,0.758,0.782,0.174,0.187,0.719,0.797,0.530,0.635,1.000
0.149,0.273,0.420,0.259,0.439,0.806,0.869,0.285,0.081,0.811,0.433,0.765,0.649,1.000
0.005,0.920,0.420,0.250,0.570,0.828,0.878,0.288,0.035,0.792,0.583,0.886,0.635,1.000
0.090,0.652,0.420,0.259,0.542,0.766,0.810,0.296,0.247,0.763,0.449,0.947,0.649,1.000
0.043,0.920,0.840,0.241,0.523,0.808,0.869,0.185,0.076,0.808,0.713,0.795,0.595,1.000
0.021,0.273,0.420,0.264,0.393,0.845,0.883,0.436,0.045,0.773,0.511,0.750,0.662,1.000
0.007,0.920,0.420,0.255,0.439,0.581,0.571,0.500,0.283,0.595,0.748,0.689,0.622,1.000
0.067,0.920,0.420,0.269,0.355,0.736,0.732,0.269,0.086,0.653,0.624,0.621,0.554,1.000
0.166,0.273,0.420,0.226,0.542,0.764,0.851,0.299,0.126,0.848,0.205,0.841,0.622,1.000
0.105,0.920,0.840,0.259,0.458,0.845,0.876,0.192,0.162,0.758,0.499,0.909,0.581,1.000
0.346,0.714,0.420,0.203,0.467,0.839,0.830,0.179,0.121,0.675,0.712,0.788,0.486,1.000
0.082,0.742,0.420,0.274,0.421,0.753,0.769,0.357,0.101,0.700,0.114,0.811,0.608,1.000
0.146,0.920,0.317,0.259,0.449,0.846,0.883,0.213,0.051,0.771,0.650,0.955,0.743,1.000
0.058,0.920,0.420,0.231,0.383,0.827,0.817,0.386,0.096,0.668,0.605,0.545,0.459,1.000
0.235,0.604,0.420,0.288,0.271,0.600,0.534,0.403,0.247,0.485,0.688,0.811,0.662,1.000
0.062,0.773,0.420,0.231,0.439,0.764,0.794,0.362,0.076,0.731,0.720,0.826,0.500,1.000
0.074,0.920,0.420,0.274,0.393,0.820,0.887,0.350,0.111,0.823,0.405,0.856,0.649,1.000
0.175,0.920,0.420,0.255,0.402,0.814,0.860,0.304,0.045,0.779,0.361,0.780,0.568,1.000
0.075,0.920,0.840,0.316,0.570,0.804,0.851,0.223,0.071,0.779,0.462,0.682,0.568,1.000
0.387,0.647,0.420,0.264,0.430,0.775,0.829,0.216,0.086,0.784,0.475,0.886,0.622,1.000
0.067,0.920,0.840,0.226,0.542,0.774,0.831,0.151,0.162,0.792,0.597,0.439,0.392,1.000
0.151,0.920,0.420,0.241,0.467,0.799,0.845,0.291,0.116,0.774,0.687,0.773,0.527,1.000
0.154,0.920,0.420,0.274,0.477,0.833,0.885,0.234,0.111,0.796,0.322,0.652,0.662,1.000
0.063,0.920,0.420,0.278,0.505,0.837,0.875,0.356,0.056,0.770,0.576,0.811,0.514,1.000
0.055,0.788,0.420,0.259,0.430,0.808,0.844,0.384,0.152,0.757,0.497,0.697,0.608,1.000
0.083,0.920,0.000,0.212,0.402,0.738,0.731,0.355,0.141,0.648,0.594,0.697,0.622,1.000
0.139,0.920,0.420,0.264,0.439,0.785,0.844,0.168,0.076,0.799,0.666,0.742,0.635,1.000
0.079,0.920,0.420,0.255,0.542,0.810,0.843,0.162,0.056,0.750,0.402,0.735,0.662,1.000
0.086,0.920,0.000,0.264,0.439,0.839,0.893,0.248,0.086,0.802,0.922,0.735,0.514,1.000
0.044,0.273,0.420,0.269,0.364,0.770,0.805,0.288,0.081,0.745,0.467,0.917,0.689,1.000
0.074,0.920,0.420,0.278,0.393,0.818,0.883,0.339,0.030,0.818,0.344,0.735,0.500,1.000
0.089,0.920,0.420,0.226,0.318,0.823,0.886,0.197,0.101,0.817,0.245,0.788,0.635,1.000
0.058,0.273,0.840,0.255,0.467,0.822,0.890,0.115,0.237,0.828,0.225,0.924,0.676,1.000
0.076,0.920,0.840,0.259,0.439,0.827,0.866,0.316,0.096,0.769,0.580,0.902,0.635,1.000
0.126,0.920,0.840,0.208,0.729,0.828,0.864,0.169,0.207,0.764,0.392,0.682,0.459,1.000
0.078,0.920,0.420,0.283,0.523,0.824,0.875,0.326,0.045,0.793,0.616,0.780,0.581,1.000
0.493,0.644,0.420,0.278,0.439,0.814,0.826,0.316,0.071,0.709,0.181,0.795,0.554,1.000
0.157,0.273,0.420,0.198,0.561,0.781,0.781,0.205,0.202,0.675,0.532,0.576,0.500,1.000
0.090,0.629,0.840,0.283,0.467,0.797,0.830,0.195,0.096,0.749,0.370,0.561,0.378,1.000
0.007,0.920,0.420,0.278,0.523,0.831,0.851,0.182,0.071,0.730,0.709,0.773,0.541,1.000
0.064,0.920,0.840,0.307,0.561,0.806,0.836,0.219,0.086,0.745,0.568,0.932,0.676,1.000
0.071,0.920,0.420,0.274,0.430,0.873,0.895,0.311,0.045,0.747,0.380,0.841,0.635,1.000
0.053,0.663,0.420,0.259,0.505,0.850,0.877,0.286,0.071,0.751,0.324,0.803,0.568,1.000
0.064,0.920,0.420,0.278,0.411,0.793,0.748,0.369,0.096,0.587,0.412,0.636,0.500,1.000
0.289,0.558,0.420,0.245,0.523,0.799,0.827,0.173,0.157,0.738,0.728,0.826,0.554,1.000
0.115,0.920,0.000,0.278,0.411,0.829,0.739,0.344,0.056,0.506,0.537,0.818,0.635,1.000
0.272,0.920,0.623,0.255,0.439,0.780,0.810,0.306,0.116,0.737,0.355,0.561,0.622,1.000
0.089,0.920,0.420,0.278,0.402,0.880,0.886,0.290,0.066,0.716,0.568,0.689,0.486,1.000
0.167,0.920,0.420,0.274,0.523,0.876,0.910,0.544,0.045,0.773,0.674,0.712,0.581,1.000
0.145,0.273,0.840,0.255,0.383,0.772,0.796,0.246,0.131,0.723,0.771,0.644,0.473,1.000
0.081,0.920,0.420,0.274,0.411,0.840,0.865,0.348,0.020,0.744,0.318,0.689,0.649,1.000
0.098,0.273,0.000,0.330,0.299,0.813,0.829,0.472,0.061,0.716,0.239,0.712,0.554,1.000
0.078,0.273,0.840,0.208,0.430,0.843,0.860,0.281,0.141,0.727,0.498,0.803,0.649,1.000
0.735,0.601,0.420,0.292,0.449,0.754,0.793,0.130,0.182,0.748,0.491,0.765,0.473,1.000
0.316,0.920,0.420,0.269,0.458,0.770,0.731,0.305,0.076,0.593,0.481,0.826,0.500,1.000
0.201,0.920,0.420,0.311,0.411,0.893,0.923,0.387,0.106,0.770,0.588,0.735,0.635,1.000
0.229,0.920,0.420,0.307,0.402,0.831,0.888,0.322,0.030,0.808,0.528,0.924,0.676,1.000
0.003,0.920,0.840,0.231,0.477,0.792,0.835,0.139,0.121,0.766,0.167,0.788,0.527,1.000
0.229,0.920,0.420,0.212,0.393,0.808,0.804,0.197,0.157,0.675,0.781,0.902,0.676,1.000
0.058,0.920,0.420,0.259,0.439,0.809,0.858,0.381,0.005,0.784,0.674,0.826,0.581,1.000
0.169,0.920,0.494,0.269,0.514,0.812,0.888,0.454,0.051,0.839,0.364,0.902,0.635,1.000
0.072,0.752,0.420,0.269,0.439,0.833,0.859,0.223,0.096,0.744,0.431,0.864,0.662,1.000
0.026,0.273,0.420,0.259,0.280,0.772,0.729,0.388,0.106,0.584,0.400,0.833,0.649,1.000
