time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.248,0.920,0.420,0.250,0.477,0.795,0.851,0.191,0.101,0.794,0.458,0.856,0.581,1.000
0.061,0.678,0.840,0.292,0.299,0.801,0.842,0.201,0.172,0.764,0.347,0.826,0.649,1.000
0.093,0.920,0.840,0.288,0.523,0.849,0.835,0.423,0.061,0.667,0.460,0.795,0.595,1.000
0.067,0.920,0.420,0.264,0.505,0.860,0.896,0.348,0.035,0.773,0.409,0.826,0.568,1.000
0.294,0.920,0.420,0.269,0.430,0.787,0.786,0.323,0.131,0.675,0.601,0.879,0.622,1.000
0.208,0.920,0.840,0.241,0.477,0.844,0.860,0.326,0.141,0.727,0.153,0.674,0.473,1.000
0.005,0.920,0.420,0.236,0.458,0.858,0.865,0.257,0.091,0.712,0.684,0.856,0.622,1.000
0.079,0.920,0.000,0.226,0.327,0.787,0.814,0.392,0.040,0.733,0.747,0.667,0.500,1.000
0.074,0.729,0.276,0.259,0.346,0.866,0.911,0.548,0.040,0.793,0.611,0.886,0.649,1.000
0.296,0.920,0.840,0.250,0.477,0.777,0.826,0.267,0.116,0.773,0.201,0.902,0.635,1.000
0.231,0.920,0.840,0.198,0.308,0.599,0.583,0.256,0.212,0.589,0.462,0.561,0.500,1.000
0.074,0.920,0.420,0.241,0.542,0.833,0.852,0.225,0.172,0.729,0.220,0.833,0.554,1.000
0.023,0.273,0.840,0.274,0.402,0.797,0.858,0.207,0.121,0.806,0.447,0.909,0.635,1.000
0.024,0.920,0.840,0.208,0.645,0.836,0.828,0.336,0.207,0.675,0.423,0.432,0.405,1.000
0.140,0.920,0.420,0.274,0.439,0.829,0.892,0.223,0.126,0.819,0.359,0.871,0.568,1.000
0.052,0.655,0.420,0.311,0.430,0.789,0.837,0.170,0.187,0.777,0.644,0.682,0.595,1.000
0.270,0.920,0.420,0.274,0.467,0.664,0.695,0.387,0.152,0.705,0.252,0.864,0.635,1.000
0.227,0.273,0.385,0.241,0.336,0.846,0.750,0.405,0.152,0.498,0.572,0.356,0.595,1.000
0.355,0.920,0.420,0.274,0.327,0.749,0.754,0.251,0.121,0.676,0.657,0.856,0.608,1.000
0.008,0.696,0.420,0.226,0.467,0.847,0.865,0.206,0.045,0.731,0.261,0.848,0.622,1.000
0.361,0.273,0.420,0.259,0.449,0.808,0.869,0.274,0.051,0.808,0.612,0.735,0.500,1.000
0.071,0.920,0.840,0.255,0.636,0.816,0.862,0.138,0.313,0.779,0.502,0.674,0.581,1.000
0.075,0.920,0.420,0.269,0.505,0.835,0.873,0.156,0.071,0.767,0.596,0.803,0.595,1.000
0.086,0.273,0.420,0.250,0.439,0.859,0.926,0.337,0.061,0.834,0.407,0.705,0.649,1.000
0.216,0.680,0.420,0.278,0.467,0.817,0.854,0.282,0.096,0.763,0.642,0.652,0.595,1.000
0.076,0.920,0.420,0.241,0.346,0.849,0.853,0.388,0.091,0.704,0.558,0.576,0.432,1.000
0.200,0.273,0.420,0.241,0.542,0.769,0.827,0.137,0.035,0.792,0.291,0.780,0.595,1.000
0.202,0.920,0.420,0.217,0.542,0.833,0.865,0.285,0.045,0.756,0.684,0.705,0.554,1.000
0.072,0.920,0.420,0.278,0.477,0.827,0.837,0.369,0.157,0.709,0.416,0.924,0.662,1.000
0.179,0.839,0.840,0.236,0.430,0.831,0.857,0.161,0.212,0.743,0.481,0.758,0.486,1.000
0.254,0.273,0.840,0.269,0.551,0.681,0.713,0.273,0.187,0.712,0.320,0.917,0.608,1.000
0.873,0.273,0.420,0.259,0.374,0.810,0.747,0.337,0.076,0.553,0.419,0.879,0.662,1.000
0.359,0.920,0.337,0.297,0.467,0.820,0.867,0.294,0.061,0.782,0.591,0.780,0.595,1.000
0.131,0.920,0.420,0.259,0.449,0.837,0.851,0.308,0.106,0.719,0.528,0.856,0.608,1.000
0.053,0.920,0.000,0.217,0.327,0.825,0.848,0.447,0.076,0.736,0.187,0.652,0.351,1.000
0.124,0.920,0.420,0.245,0.551,0.812,0.854,0.209,0.106,0.770,0.587,0.750,0.730,1.000
0.278,0.920,0.420,0.278,0.411,0.772,0.848,0.230,0.106,0.829,0.588,0.818,0.649,1.000
0.096,0.273,0.420,0.255,0.458,0.864,0.929,0.431,0.025,0.832,0.338,0.705,0.500,1.000
0.130,0.920,0.652,0.307,0.411,0.789,0.808,0.231,0.126,0.716,0.389,0.841,0.676,1.000
0.071,0.712,0.420,0.274,0.374,0.833,0.880,0.223,0.157,0.788,0.324,0.826,0.554,1.000
0.089,0.699,0.420,0.311,0.486,0.801,0.850,0.180,0.045,0.781,0.555,0.864,0.635,1.000
0.147,0.920,0.420,0.302,0.393,0.796,0.804,0.344,0.157,0.697,0.542,0.561,0.595,1.000
0.085,0.920,0.420,0.170,0.374,0.724,0.710,0.307,0.141,0.631,0.478,0.720,0.581,1.000
0.191,0.920,0.420,0.269,0.402,0.814,0.866,0.279,0.056,0.793,0.745,0.773,0.581,1.000
0.083,0.920,0.420,0.231,0.336,0.841,0.858,0.478,0.056,0.728,0.238,0.652,0.635,1.000
0.099,0.920,0.420,0.264,0.383,0.826,0.840,0.277,0.187,0.718,0.620,0.795,0.676,1.000
0.019,0.273,0.420,0.255,0.411,0.775,0.771,0.328,0.061,0.666,0.422,0.697,0.595,1.000
0.064,0.920,0.420,0.250,0.421,0.850,0.847,0.436,0.101,0.690,0.295,0.682,0.622,1.000
0.161,0.920,0.840,0.231,0.383,0.736,0.698,0.329,0.187,0.583,0.384,0.803,0.568,1.000
0.129,0.920,0.420,0.278,0.393,0.846,0.878,0.292,0.045,0.760,0.272,0.788,0.608,1.000
0.210,0.273,0.840,0.212,0.280,0.568,0.565,0.319,0.253,0.606,0.581,0.894,0.608,1.000
0.088,0.704,0.420,0.245,0.364,0.857,0.892,0.379,0.040,0.769,0.593,0.742,0.608,1.000
0.130,0.920,0.840,0.269,0.570,0.797,0.844,0.157,0.247,0.777,0.113,0.735,0.622,1.000
0.004,0.920,0.587,0.274,0.505,0.893,0.934,0.229,0.131,0.792,0.492,0.955,0.689,1.000
0.057,0.920,0.947,0.274,0.477,0.868,0.899,0.146,0.202,0.764,0.559,0.659,0.608,1.000
0.080,0.735,0.420,0.236,0.570,0.844,0.828,0.327,0.172,0.661,0.574,0.765,0.568,1.000
0.201,0.920,0.420,0.259,0.523,0.832,0.875,0.279,0.051,0.779,0.378,0.879,0.595,1.000
0.071,0.920,0.420,0.311,0.654,0.752,0.820,0.161,0.045,0.807,0.497,0.720,0.649,1.000
0.079,0.920,0.420,0.274,0.449,0.819,0.840,0.377,0.061,0.730,0.646,0.856,0.649,1.000
0.119,0.829,0.440,0.283,0.514,0.837,0.874,0.226,0.131,0.769,0.516,0.644,0.365,1.000
0.103,0.920,0.373,0.193,0.505,0.860,0.867,0.362,0.116,0.713,0.560,0.864,0.581,1.000
0.057,0.920,0.420,0.255,0.598,0.858,0.885,0.194,0.035,0.753,0.482,0.697,0.581,1.000
0.091,0.502,0.000,0.245,0.336,0.762,0.747,0.360,0.131,0.639,0.577,0.780,0.581,1.000
0.150,0.920,0.420,0.278,0.467,0.783,0.831,0.251,0.131,0.775,0.494,0.720,0.676,1.000
0.084,0.273,0.420,0.208,0.393,0.841,0.866,0.296,0.056,0.744,0.785,0.667,0.541,1.000
0.090,0.621,0.840,0.245,0.551,0.844,0.880,0.171,0.056,0.767,0.617,0.689,0.446,1.000
0.135,0.920,0.420,0.274,0.449,0.844,0.861,0.280,0.066,0.729,0.231,0.894,0.635,1.000
0.246,0.273,0.420,0.226,0.523,0.785,0.733,0.251,0.308,0.568,0.697,0.568,0.486,1.000
0.141,0.920,0.420,0.288,0.533,0.718,0.748,0.255,0.131,0.718,0.340,0.826,0.554,1.000
0.154,0.920,0.840,0.245,0.449,0.828,0.849,0.249,0.086,0.734,0.322,0.894,0.608,1.000
0.072,0.273,0.420,0.259,0.477,0.730,0.785,0.198,0.146,0.772,0.610,0.856,0.730,1.000
0.009,0.920,0.840,0.264,0.421,0.844,0.893,0.217,0.126,0.795,0.662,0.621,0.351,1.000
0.247,0.654,0.608,0.217,0.467,0.758,0.805,0.151,0.076,0.766,0.642,0.682,0.446,1.000
0.150,0.273,0.420,0.245,0.346,0.696,0.685,0.409,0.152,0.627,0.845,0.848,0.608,1.000
0.075,0.920,0.420,0.203,0.561,0.869,0.876,0.295,0.146,0.716,0.209,0.811,0.486,1.000
0.091,0.920,0.293,0.255,0.533,0.753,0.644,0.428,0.136,0.442,0.565,0.803,0.689,1.000
0.084,0.273,0.840,0.274,0.561,0.803,0.772,0.481,0.136,0.618,0.578,0.818,0.676,1.000
0.272,0.920,0.420,0.269,0.383,0.825,0.853,0.308,0.066,0.747,0.550,0.917,0.676,1.000
0.125,0.920,0.420,0.226,0.561,0.766,0.807,0.157,0.152,0.755,0.687,0.674,0.649,1.000
0.066,0.273,0.420,0.208,0.589,0.844,0.879,0.250,0.051,0.766,0.640,0.826,0.689,1.000
0.199,0.920,0.420,0.264,0.514,0.793,0.896,0.397,0.076,0.889,0.751,0.795,0.595,1.000
0.164,0.920,0.420,0.307,0.561,0.804,0.844,0.179,0.111,0.764,0.466,0.917,0.662,1.000
0.066,0.273,0.420,0.269,0.551,0.784,0.809,0.254,0.157,0.728,0.517,0.561,0.405,1.000
0.151,0.661,0.840,0.236,0.617,0.831,0.899,0.087,0.167,0.829,0.502,0.811,0.446,1.000
0.152,0.920,0.420,0.288,0.402,0.795,0.817,0.347,0.106,0.723,0.522,0.765,0.676,1.000
0.077,0.920,0.420,0.274,0.449,0.746,0.777,0.316,0.167,0.728,0.248,0.811,0.635,1.000
0.058,0.920,0.840,0.302,0.579,0.853,0.893,0.228,0.136,0.780,0.283,0.682,0.554,1.000
0.147,0.920,0.840,0.269,0.589,0.835,0.864,0.239,0.101,0.750,0.372,0.841,0.527,1.000
0.085,0.273,0.840,0.283,0.505,0.912,0.910,0.247,0.086,0.709,0.626,0.879,0.703,1.000
0.196,0.920,0.420,0.302,0.449,0.852,0.857,0.332,0.035,0.706,0.429,0.871,0.622,1.000
0.074,0.920,0.708,0.236,0.458,0.851,0.870,0.288,0.086,0.734,0.649,0.667,0.568,1.000
0.274,0.920,0.420,0.259,0.364,0.791,0.805,0.420,0.131,0.706,0.363,0.894,0.649,1.000
0.196,0.920,0.420,0.231,0.402,0.822,0.851,0.458,0.076,0.747,0.681,0.667,0.568,1.000
0.392,0.628,0.420,0.311,0.486,0.756,0.786,0.187,0.172,0.730,0.475,0.674,0.581,1.000
0.034,0.920,0.420,0.208,0.374,0.827,0.875,0.194,0.066,0.787,0.621,0.894,0.635,1.000
0.071,0.920,0.420,0.302,0.411,0.822,0.869,0.431,0.081,0.782,0.659,0.864,0.581,1.000
0.078,0.920,0.420,0.226,0.402,0.826,0.848,0.272,0.152,0.734,0.637,0.568,0.378,1.000
0.273,0.920,0.840,0.307,0.439,0.837,0.865,0.123,0.157,0.748,0.599,0.598,0.486,1.000
0.124,0.920,0.420,0.274,0.570,0.843,0.882,0.226,0.056,0.773,0.256,0.818,0.581,1.000
0.209,0.767,0.840,0.236,0.467,0.811,0.815,0.320,0.167,0.692,0.263,0.674,0.446,1.000
0.049,0.920,0.660,0.226,0.364,0.877,0.891,0.333,0.126,0.733,0.789,0.591,0.514,1.000
0.006,0.920,0.000,0.302,0.336,0.763,0.716,0.574,0.136,0.573,0.331,0.909,0.703,1.000
0.149,0.273,0.840,0.208,0.523,0.847,0.882,0.231,0.076,0.766,0.448,0.720,0.541,1.000
0.050,0.920,0.562,0.255,0.561,0.844,0.870,0.159,0.111,0.748,0.379,0.803,0.622,1.000
0.142,0.732,0.420,0.302,0.561,0.866,0.875,0.283,0.106,0.719,0.617,0.788,0.595,1.000
0.927,0.920,0.420,0.269,0.430,0.798,0.840,0.332,0.081,0.767,0.361,0.848,0.635,1.000
0.048,0.920,0.420,0.311,0.477,0.828,0.846,0.291,0.056,0.727,0.454,0.924,0.662,1.000
0.021,0.920,0.840,0.283,0.495,0.810,0.857,0.260,0.066,0.781,0.433,0.886,0.662,1.000
0.158,0.920,0.420,0.255,0.458,0.842,0.838,0.275,0.136,0.684,0.484,0.712,0.581,1.000
0.088,0.920,0.390,0.259,0.411,0.839,0.849,0.293,0.045,0.713,0.290,0.758,0.541,1.000
0.350,0.920,0.253,0.274,0.374,0.836,0.875,0.445,0.025,0.771,0.464,0.894,0.662,1.000
0.367,0.616,0.420,0.321,0.477,0.754,0.814,0.323,0.146,0.792,0.692,0.848,0.662,1.000
0.154,0.273,0.420,0.264,0.383,0.830,0.871,0.481,0.061,0.774,0.610,0.871,0.662,1.000
0.028,0.273,0.420,0.241,0.421,0.829,0.889,0.466,0.045,0.811,0.420,0.705,0.595,1.000
0.065,0.594,0.000,0.302,0.467,0.831,0.878,0.297,0.015,0.786,0.211,0.803,0.635,1.000
0.371,0.273,0.420,0.307,0.458,0.822,0.860,0.276,0.056,0.766,0.683,0.811,0.581,1.000
0.144,0.920,0.420,0.264,0.393,0.857,0.801,0.286,0.106,0.582,0.608,0.902,0.662,1.000
0.005,0.685,0.420,0.236,0.411,0.762,0.853,0.319,0.086,0.856,0.833,0.909,0.662,1.000
0.197,0.920,0.420,0.259,0.505,0.829,0.870,0.198,0.126,0.773,0.609,0.682,0.662,1.000
0.169,0.692,0.420,0.259,0.598,0.777,0.847,0.297,0.086,0.817,0.297,0.886,0.608,1.000
0.068,0.687,0.420,0.255,0.477,0.856,0.896,0.151,0.096,0.779,0.914,0.644,0.622,1.000
0.250,0.920,0.840,0.278,0.542,0.820,0.839,0.291,0.086,0.725,0.130,0.879,0.608,1.000
0.077,0.920,0.840,0.198,0.439,0.773,0.835,0.103,0.182,0.801,0.667,0.720,0.541,1.000
0.074,0.920,0.420,0.307,0.374,0.797,0.830,0.223,0.167,0.748,0.857,0.902,0.649,1.000
0.203,0.920,0.420,0.292,0.636,0.803,0.866,0.182,0.076,0.811,0.661,0.856,0.622,1.000
0.057,0.920,0.420,0.255,0.495,0.806,0.844,0.374,0.045,0.760,0.204,0.773,0.662,1.000
0.077,0.920,0.840,0.208,0.393,0.787,0.787,0.176,0.217,0.677,0.658,0.848,0.554,1.000
0.088,0.920,0.840,0.274,0.720,0.852,0.902,0.104,0.136,0.800,0.291,0.674,0.459,1.000
0.003,0.273,0.420,0.203,0.383,0.673,0.716,0.362,0.121,0.730,0.585,0.659,0.649,1.000
0.051,0.920,0.840,0.217,0.523,0.853,0.885,0.173,0.258,0.762,0.360,0.591,0.595,1.000
0.025,0.273,0.420,0.307,0.318,0.847,0.861,0.439,0.051,0.723,0.582,0.818,0.689,1.000
0.088,0.920,0.420,0.269,0.430,0.835,0.842,0.295,0.106,0.705,0.240,0.886,0.635,1.000
0.090,0.920,0.420,0.269,0.411,0.880,0.887,0.260,0.121,0.720,0.517,0.674,0.541,1.000
0.063,0.920,0.420,0.226,0.299,0.768,0.769,0.244,0.207,0.674,0.530,0.795,0.554,1.000
0.121,0.920,0.420,0.297,0.402,0.823,0.867,0.241,0.045,0.778,0.602,0.720,0.595,1.000
0.076,0.784,0.840,0.264,0.383,0.849,0.855,0.346,0.141,0.708,0.450,0.909,0.676,1.000
0.191,0.920,0.420,0.259,0.318,0.676,0.604,0.388,0.192,0.497,0.403,0.576,0.514,1.000
0.071,0.920,0.840,0.255,0.449,0.788,0.824,0.145,0.177,0.751,0.483,0.826,0.581,1.000
0.372,0.920,0.840,0.222,0.402,0.822,0.858,0.186,0.096,0.762,0.449,0.826,0.581,1.000
0.224,0.920,0.840,0.241,0.542,0.791,0.847,0.273,0.187,0.793,0.505,0.894,0.608,1.000
0.222,0.920,0.420,0.288,0.430,0.801,0.825,0.206,0.187,0.731,0.550,0.902,0.662,1.000
0.214,0.920,0.420,0.292,0.374,0.820,0.837,0.341,0.091,0.721,0.592,0.864,0.622,1.000
0.002,0.632,0.420,0.264,0.430,0.848,0.845,0.405,0.207,0.690,0.415,0.758,0.568,1.000
0.098,0.920,0.840,0.269,0.495,0.766,0.840,0.128,0.207,0.822,0.308,0.841,0.622,1.000
0.162,0.920,0.840,0.302,0.439,0.848,0.869,0.179,0.101,0.738,0.354,0.848,0.595,1.000
0.075,0.920,0.420,0.264,0.402,0.829,0.854,0.337,0.116,0.740,0.628,0.735,0.622,1.000
0.066,0.744,0.420,0.297,0.467,0.777,0.757,0.268,0.237,0.633,0.423,0.848,0.541,1.000
0.158,0.634,0.420,0.297,0.374,0.820,0.865,0.329,0.076,0.779,0.266,0.674,0.608,1.000
0.273,0.920,0.420,0.222,0.467,0.810,0.844,0.189,0.061,0.753,0.521,0.667,0.419,1.000
0.151,0.273,0.420,0.212,0.430,0.754,0.819,0.247,0.061,0.800,0.704,0.909,0.689,1.000
0.085,0.920,0.420,0.231,0.402,0.836,0.886,0.295,0.081,0.794,0.437,0.848,0.554,1.000
0.060,0.680,0.840,0.292,0.336,0.589,0.593,0.475,0.217,0.627,0.270,0.826,0.676,1.000
0.001,0.561,0.420,0.264,0.439,0.768,0.874,0.333,0.066,0.889,0.174,0.939,0.730,1.000
0.021,0.273,0.420,0.283,0.570,0.812,0.840,0.378,0.056,0.742,0.625,0.811,0.568,1.000
0.236,0.273,0.420,0.255,0.346,0.866,0.813,0.335,0.131,0.591,0.722,0.765,0.608,1.000
0.052,0.273,0.840,0.250,0.551,0.835,0.867,0.176,0.182,0.758,0.365,0.553,0.514,1.000
0.090,0.920,0.420,0.274,0.505,0.838,0.846,0.234,0.086,0.708,0.478,0.682,0.635,1.000
0.093,0.920,0.420,0.241,0.402,0.887,0.902,0.298,0.071,0.738,0.626,0.636,0.486,1.000
0.017,0.273,0.420,0.302,0.421,0.814,0.874,0.294,0.101,0.807,0.774,0.886,0.662,1.000
0.144,0.637,0.453,0.259,0.402,0.845,0.846,0.272,0.096,0.696,0.510,0.902,0.662,1.000
0.003,0.920,0.420,0.283,0.430,0.831,0.861,0.335,0.111,0.751,0.590,0.765,0.568,1.000
0.068,0.920,0.600,0.269,0.542,0.779,0.741,0.391,0.217,0.596,0.628,0.697,0.581,1.000
0.346,0.273,0.840,0.274,0.327,0.774,0.713,0.280,0.242,0.547,0.564,0.742,0.608,1.000
0.011,0.273,0.501,0.264,0.617,0.810,0.852,0.299,0.091,0.770,0.343,0.909,0.662,1.000
0.053,0.920,0.420,0.292,0.393,0.793,0.794,0.280,0.096,0.681,0.470,0.712,0.473,1.000
0.095,0.920,0.840,0.307,0.439,0.801,0.806,0.352,0.066,0.692,0.731,0.909,0.635,1.000
0.150,0.920,0.840,0.255,0.486,0.755,0.847,0.145,0.152,0.856,0.578,0.939,0.662,1.000
0.136,0.273,0.513,0.283,0.364,0.825,0.845,0.462,0.051,0.730,0.603,0.705,0.568,1.000
0.081,0.273,0.420,0.274,0.458,0.760,0.838,0.348,0.056,0.829,0.619,0.939,0.689,1.000
0.066,0.642,0.420,0.297,0.308,0.750,0.700,0.420,0.167,0.562,0.372,0.795,0.581,1.000
0.073,0.273,0.840,0.274,0.327,0.773,0.842,0.226,0.040,0.814,0.463,0.583,0.365,1.000
0.021,0.702,0.420,0.311,0.477,0.845,0.874,0.251,0.101,0.753,0.556,0.811,0.568,1.000
0.097,0.920,0.420,0.269,0.458,0.832,0.859,0.274,0.066,0.745,0.432,0.682,0.568,1.000
0.074,0.920,0.420,0.269,0.477,0.839,0.847,0.333,0.126,0.708,0.371,0.924,0.662,1.000
0.138,0.920,0.420,0.170,0.598,0.816,0.866,0.137,0.197,0.789,0.698,0.644,0.351,1.000
0.423,0.920,0.420,0.217,0.364,0.643,0.612,0.303,0.081,0.571,0.401,0.803,0.568,1.000
0.088,0.920,0.420,0.264,0.430,0.836,0.815,0.331,0.106,0.648,0.547,0.682,0.622,1.000
0.092,0.920,0.840,0.311,0.486,0.821,0.860,0.251,0.101,0.767,0.551,0.894,0.689,1.000
0.080,0.551,0.420,0.307,0.336,0.844,0.857,0.423,0.056,0.721,0.392,0.833,0.689,1.000
0.001,0.273,0.420,0.236,0.486,0.828,0.854,0.248,0.096,0.743,0.574,0.598,0.568,1.000
0.054,0.573,0.840,0.208,0.421,0.764,0.694,0.172,0.313,0.527,0.480,0.902,0.676,1.000
0.081,0.273,0.420,0.250,0.421,0.829,0.883,0.394,0.061,0.799,0.601,0.659,0.622,1.000
0.060,0.920,0.420,0.255,0.589,0.837,0.913,0.154,0.172,0.847,0.482,0.644,0.446,1.000
0.072,0.920,0.840,0.278,0.439,0.803,0.869,0.236,0.051,0.817,0.811,0.758,0.527,1.000
0.002,0.693,0.840,0.269,0.486,0.853,0.879,0.282,0.096,0.751,0.588,0.780,0.689,1.000
0.215,0.702,0.420,0.307,0.374,0.650,0.600,0.342,0.308,0.532,0.823,0.447,0.608,1.000
0.236,0.920,0.420,0.297,0.318,0.855,0.889,0.478,0.081,0.767,0.825,0.902,0.649,1.000
0.079,0.560,0.840,0.217,0.383,0.818,0.861,0.236,0.152,0.775,0.473,0.758,0.595,1.000
0.065,0.920,0.840,0.184,0.523,0.786,0.734,0.241,0.232,0.569,0.285,0.856,0.703,1.000
0.067,0.552,0.420,0.222,0.598,0.813,0.873,0.166,0.126,0.808,0.451,0.818,0.595,1.000
0.175,0.273,0.840,0.330,0.486,0.573,0.612,0.228,0.217,0.693,0.547,0.902,0.689,1.000
0.091,0.920,0.420,0.307,0.402,0.808,0.847,0.207,0.066,0.762,0.685,0.682,0.568,1.000
0.069,0.920,0.420,0.269,0.486,0.833,0.889,0.236,0.056,0.806,0.472,0.795,0.554,1.000
0.059,0.920,0.420,0.274,0.439,0.812,0.870,0.267,0.015,0.804,0.453,0.811,0.716,1.000
0.272,0.920,0.701,0.278,0.533,0.825,0.867,0.228,0.126,0.774,0.394,0.629,0.527,1.000
0.073,0.920,0.420,0.307,0.505,0.810,0.868,0.278,0.020,0.802,0.801,0.871,0.676,1.000
0.020,0.920,0.415,0.250,0.374,0.818,0.853,0.422,0.076,0.758,0.416,0.871,0.649,1.000
0.077,0.920,0.420,0.259,0.393,0.810,0.790,0.419,0.152,0.642,0.410,0.386,0.365,1.000
0.015,0.920,0.840,0.269,0.589,0.758,0.770,0.122,0.212,0.692,0.128,0.712,0.635,1.000
0.059,0.920,0.840,0.278,0.402,0.783,0.837,0.318,0.056,0.786,0.735,0.758,0.541,1.000
0.076,0.630,0.420,0.269,0.477,0.806,0.860,0.251,0.091,0.793,0.417,0.674,0.581,1.000
0.317,0.677,0.420,0.274,0.364,0.787,0.817,0.289,0.030,0.737,0.654,0.697,0.622,1.000
0.013,0.920,0.840,0.302,0.449,0.803,0.839,0.372,0.086,0.757,0.404,0.841,0.649,1.000
0.059,0.753,0.840,0.250,0.449,0.889,0.924,0.295,0.096,0.779,0.448,0.773,0.554,1.000
0.075,0.627,0.529,0.250,0.430,0.861,0.884,0.320,0.056,0.747,0.520,0.606,0.432,1.000
0.058,0.920,0.420,0.264,0.430,0.778,0.842,0.286,0.096,0.806,0.824,0.909,0.635,1.000
0.159,0.273,0.420,0.302,0.318,0.618,0.647,0.344,0.177,0.689,0.487,0.780,0.568,1.000
0.013,0.273,0.840,0.335,0.346,0.735,0.707,0.222,0.278,0.603,0.718,0.909,0.635,1.000
0.073,0.920,0.420,0.250,0.364,0.850,0.803,0.428,0.141,0.598,0.718,0.576,0.365,1.000
0.141,0.920,0.254,0.278,0.467,0.816,0.879,0.389,0.121,0.816,0.389,0.780,0.676,1.000
0.069,0.273,0.420,0.255,0.439,0.840,0.883,0.227,0.076,0.781,0.466,0.750,0.568,1.000
0.452,0.273,0.574,0.250,0.449,0.806,0.839,0.348,0.182,0.750,0.162,0.924,0.649,1.000
0.147,0.920,0.840,0.217,0.430,0.845,0.865,0.275,0.192,0.735,0.131,0.402,0.311,1.000
0.121,0.774,0.420,0.283,0.467,0.801,0.839,0.271,0.071,0.760,0.584,0.682,0.500,1.000
0.061,0.647,0.420,0.259,0.439,0.928,0.886,0.310,0.096,0.631,0.561,0.705,0.432,1.000
0.004,0.593,0.420,0.274,0.505,0.814,0.843,0.260,0.076,0.743,0.279,0.720,0.608,1.000
0.406,0.273,0.420,0.278,0.486,0.785,0.808,0.327,0.056,0.722,0.940,0.780,0.595,1.000
0.074,0.920,0.420,0.198,0.486,0.884,0.899,0.379,0.116,0.736,0.327,0.841,0.554,1.000
0.065,0.920,0.840,0.278,0.346,0.868,0.784,0.358,0.141,0.528,0.466,0.561,0.338,1.000
0.278,0.920,0.420,0.236,0.477,0.815,0.825,0.334,0.101,0.705,0.467,0.720,0.500,1.000
0.123,0.273,0.840,0.283,0.439,0.767,0.823,0.229,0.116,0.787,0.766,0.841,0.676,1.000
0.492,0.273,0.420,0.292,0.570,0.836,0.830,0.096,0.212,0.678,0.809,0.871,0.622,1.000
0.065,0.920,0.840,0.236,0.383,0.748,0.717,0.335,0.222,0.603,0.547,0.492,0.622,1.000
0.285,0.920,0.265,0.283,0.439,0.773,0.839,0.216,0.071,0.809,0.580,0.924,0.662,1.000
0.395,0.273,0.420,0.241,0.458,0.803,0.838,0.298,0.157,0.752,0.408,0.758,0.608,1.000
0.013,0.273,0.434,0.255,0.327,0.823,0.827,0.540,0.152,0.697,0.331,0.864,0.622,1.000
0.005,0.920,0.420,0.302,0.374,0.675,0.706,0.310,0.217,0.707,0.433,0.902,0.649,1.000
0.071,0.973,0.840,0.297,0.514,0.810,0.853,0.207,0.136,0.771,0.367,0.674,0.432,1.000
0.043,0.717,0.420,0.274,0.439,0.849,0.873,0.345,0.056,0.744,0.370,0.841,0.595,1.000
0.082,0.920,0.420,0.236,0.421,0.810,0.866,0.396,0.091,0.800,0.394,0.720,0.568,1.000
0.051,0.920,0.840,0.226,0.561,0.760,0.783,0.142,0.298,0.716,0.655,0.909,0.662,1.000
0.095,0.920,0.420,0.264,0.505,0.778,0.829,0.210,0.141,0.779,0.752,0.902,0.662,1.000
0.116,0.273,0.840,0.241,0.505,0.795,0.690,0.277,0.278,0.465,0.421,0.553,0.527,1.000
0.098,0.920,0.786,0.259,0.486,0.818,0.880,0.235,0.212,0.814,0.562,0.848,0.500,1.000
0.006,0.780,0.732,0.245,0.411,0.748,0.805,0.275,0.217,0.784,0.597,0.879,0.676,1.000
0.364,0.920,0.420,0.259,0.505,0.837,0.867,0.295,0.061,0.753,0.622,0.689,0.595,1.000
0.125,0.920,0.420,0.302,0.551,0.814,0.870,0.269,0.051,0.801,0.349,0.864,0.581,1.000
0.044,0.920,0.578,0.311,0.449,0.846,0.867,0.317,0.131,0.738,0.374,0.652,0.595,1.000
0.073,0.920,0.420,0.297,0.411,0.860,0.892,0.333,0.030,0.763,0.791,0.712,0.459,1.000
0.045,0.920,0.238,0.292,0.280,0.749,0.790,0.576,0.106,0.749,0.373,0.871,0.649,1.000
0.073,0.786,0.420,0.241,0.458,0.841,0.882,0.231,0.010,0.777,0.495,0.780,0.514,1.000
0.025,0.273,0.840,0.255,0.449,0.850,0.858,0.358,0.247,0.712,0.435,0.894,0.608,1.000
0.080,0.641,0.415,0.264,0.505,0.829,0.855,0.328,0.020,0.743,0.161,0.924,0.662,1.000
0.211,0.920,0.732,0.278,0.449,0.803,0.855,0.184,0.091,0.789,0.617,0.833,0.635,1.000
0.054,0.920,0.542,0.292,0.542,0.809,0.871,0.264,0.066,0.811,0.282,0.848,0.622,1.000
0.049,0.920,0.840,0.231,0.411,0.771,0.836,0.274,0.197,0.807,0.531,0.879,0.608,1.000
0.188,0.709,0.420,0.316,0.439,0.831,0.790,0.429,0.106,0.606,0.464,0.598,0.473,1.000
