time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters
1060.000,2.912,6.158,1.000,0.490,1.000
1832.000,2.499,6.648,1.000,0.430,4.000
3462.000,2.479,6.250,1.000,0.460,1.000
1127.000,2.618,5.818,1.000,0.570,3.000
2554.000,2.720,6.744,1.000,0.510,1.000
1868.000,2.738,6.469,1.000,0.590,3.000
1549.000,2.485,6.602,1.000,0.580,3.000
1011.000,2.594,5.891,1.000,0.590,3.000
1950.000,2.631,6.329,1.000,0.460,1.000
5393.000,2.780,6.427,1.000,0.410,4.000
14030.000,2.665,5.873,1.000,0.560,3.000
6762.000,2.791,6.433,1.000,0.450,1.000
6134.000,2.581,6.155,1.000,0.540,1.000
5434.000,2.700,5.678,1.000,0.640,3.000
1708.000,2.790,6.815,1.000,0.470,1.000
1103.000,2.650,5.711,1.000,0.500,1.000
952.000,2.595,6.233,1.000,0.410,4.000
2496.000,2.889,5.635,1.000,0.610,3.000
8953.000,2.785,5.806,1.000,0.490,1.000
1703.000,2.411,5.550,1.000,0.400,4.000
7163.000,2.950,6.157,1.000,0.610,3.000
2565.000,2.603,5.829,1.000,0.220,4.000
2537.000,2.633,6.001,1.000,0.330,4.000
1359.000,2.530,5.524,1.000,0.610,3.000
472.000,2.812,6.816,1.000,0.600,3.000
1605.000,2.408,5.722,1.000,0.520,1.000
5708.000,2.614,5.890,1.000,0.520,1.000
6837.000,2.841,6.162,1.000,0.470,1.000
1395.000,2.570,6.169,1.000,0.610,3.000
2414.000,2.444,5.731,1.000,0.500,1.000
0.000,2.678,6.357,1.000,0.550,1.000
1915.000,2.712,6.214,1.000,0.600,3.000
1246.000,2.583,6.557,1.000,0.310,4.000
2339.000,2.601,6.517,1.000,0.530,1.000
1526.000,2.700,6.617,1.000,0.570,3.000
1267.000,2.537,6.447,1.000,0.530,1.000
292.000,2.613,7.273,1.000,0.460,1.000
3161.000,2.671,7.292,1.000,0.540,1.000
3193.000,2.606,6.939,1.000,0.480,1.000
1456.000,2.543,5.614,1.000,0.570,3.000
663.000,2.438,5.600,1.000,0.510,1.000
995.000,2.496,5.897,1.000,0.510,1.000
1353.000,2.564,6.228,1.000,0.460,1.000
12531.000,2.922,5.498,1.000,0.450,1.000
1363.000,2.471,7.188,1.000,0.710,2.000
1843.000,2.766,6.030,1.000,0.510,1.000
12.000,2.445,5.736,1.000,0.370,4.000
1761.000,2.408,6.600,1.000,0.690,2.000
1490.000,2.704,6.935,1.000,0.470,1.000
1466.000,2.630,6.558,1.000,0.420,4.000
1170.000,2.735,6.619,1.000,0.500,1.000
41.000,2.313,6.428,1.000,0.630,3.000
6165.000,2.680,6.430,1.000,0.590,3.000
1142.000,2.935,7.281,1.000,0.630,3.000
2701.000,2.588,6.016,1.000,0.490,1.000
1379.000,2.564,6.241,1.000,0.450,1.000
6030.000,2.733,6.157,1.000,0.540,1.000
1083.000,2.484,6.578,1.000,0.580,3.000
2094.000,2.671,5.711,1.000,0.580,3.000
1128.000,2.854,6.526,1.000,0.270,4.000
1409.000,2.690,7.234,1.000,0.640,3.000
7331.000,2.811,6.480,1.000,0.540,1.000
9104.000,2.446,6.153,1.000,0.520,1.000
6858.000,2.676,6.209,1.000,0.500,1.000
1510.000,2.688,6.819,1.000,0.600,3.000
