time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
1535.000,3.000,7.000,2.080,12.700,40.640,39.690,330.000,6.300,-0.950,9.640,-0.040,0.010
3959.000,3.000,6.000,2.110,10.200,42.100,41.360,600.000,6.200,-0.740,12.890,-0.270,-0.010
166.000,2.000,6.000,1.980,11.100,40.340,39.680,515.000,5.400,-0.660,11.750,-0.200,-0.020
4208.000,3.000,6.000,1.990,12.000,41.460,40.620,401.000,5.400,-0.840,12.780,-0.280,-0.060
1422.000,3.000,7.000,2.040,10.500,40.720,40.390,401.000,5.100,-0.330,15.050,-0.240,-0.090
2429.000,2.580,6.000,2.010,9.400,41.290,39.370,748.000,5.800,-1.920,12.020,-0.310,-0.040
1557.000,3.000,5.795,1.980,10.800,41.290,40.430,758.000,5.400,-0.860,11.150,-0.010,0.010
2960.000,2.598,5.000,1.980,9.200,40.100,38.570,734.000,5.700,-1.530,15.170,-0.090,-0.020
1443.000,3.000,6.000,1.970,10.800,41.150,40.060,490.000,4.800,-1.090,15.420,-0.120,-0.010
4017.000,3.000,6.000,2.020,10.100,41.630,40.360,564.000,5.600,-1.270,10.260,-0.020,-0.010
2999.000,3.000,7.000,1.980,9.500,39.760,37.040,410.000,7.400,-2.720,13.280,-0.350,-0.060
4118.000,2.000,6.000,1.910,10.100,38.850,35.710,611.000,5.800,-3.140,10.670,-0.630,-0.140
1367.000,3.000,6.000,2.060,9.600,40.340,36.880,740.000,8.900,-3.460,13.960,-0.060,0.020
1560.000,3.000,6.000,2.100,10.400,41.270,40.200,676.000,5.100,-1.070,11.710,-0.210,-0.070
1135.000,3.000,6.000,1.980,9.700,40.860,40.580,645.000,5.500,-0.280,10.580,-0.330,-0.010
4471.000,3.000,7.000,2.050,11.800,41.150,40.350,330.000,7.400,-0.800,10.190,-0.500,-0.060
1639.000,3.000,5.801,1.860,10.000,41.220,39.630,590.000,6.200,-1.590,13.090,-0.230,-0.080
2326.000,3.000,7.000,1.930,10.000,41.370,41.010,346.000,6.400,-0.360,10.410,-0.140,-0.050
1222.000,2.000,6.000,1.960,11.700,40.760,40.370,435.000,5.500,-0.390,9.840,-0.410,-0.140
5460.000,3.000,6.000,2.030,12.400,41.360,40.620,407.000,6.200,-0.740,10.270,-0.080,0.010
2601.000,3.000,6.000,1.850,10.600,41.140,40.040,321.000,7.100,-1.100,10.980,-0.260,-0.040
758.000,3.000,7.000,2.070,12.400,41.000,40.250,281.000,6.100,-0.750,10.800,-0.480,-0.080
1172.000,2.423,6.000,1.920,10.100,41.300,41.060,444.000,5.500,-0.240,12.830,-0.320,-0.160
1196.000,3.000,5.972,2.050,11.100,41.020,40.220,296.000,5.000,-0.800,13.290,-0.130,-0.010
1994.000,2.000,6.000,1.910,11.000,40.190,39.690,387.000,6.200,-0.500,10.800,-0.280,0.010
2622.000,3.000,6.000,2.100,9.800,39.000,36.980,711.000,8.900,-2.020,13.240,-0.210,-0.020
1257.000,2.000,6.000,2.030,11.300,40.000,38.460,326.000,8.400,-1.540,11.760,-0.140,-0.050
1332.000,3.000,6.000,1.940,11.300,41.180,40.420,410.000,6.400,-0.760,11.110,-0.060,-0.020
2803.000,3.000,6.000,1.970,9.700,40.320,40.390,503.000,5.100,0.070,12.560,-0.010,0.010
2894.000,2.639,7.000,1.970,10.900,41.350,40.420,297.000,8.900,-0.930,10.780,-0.360,-0.020
1562.000,2.501,6.000,2.090,11.400,40.920,40.430,606.000,5.400,-0.490,11.100,-0.160,-0.040
