time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
1739.000,3.000,5.930,2.000,10.200,41.280,40.050,476.000,5.000,-1.230,10.020,-0.240,-0.080
2774.000,2.530,6.000,1.980,10.600,41.250,40.240,556.000,5.500,-1.010,13.160,-0.300,-0.130
3127.000,2.000,7.000,1.890,11.200,40.760,39.970,506.000,8.600,-0.790,11.260,-0.500,-0.110
844.000,3.000,6.000,1.870,11.500,40.350,37.970,472.000,6.700,-2.380,14.620,-0.170,-0.050
7833.000,2.000,7.000,1.920,10.200,39.080,38.380,348.000,7.400,-0.700,12.190,-0.170,-0.020
2459.000,3.000,6.000,1.940,11.000,40.780,40.430,258.000,5.900,-0.350,14.010,-0.220,-0.040
4057.000,3.000,7.000,2.000,11.500,40.830,39.410,339.000,6.000,-1.420,11.180,-0.240,-0.030
1268.000,2.733,6.000,2.130,11.000,39.900,38.760,443.000,6.600,-1.140,10.650,-0.090,-0.050
6158.000,2.406,6.264,2.060,11.600,41.140,40.320,403.000,6.200,-0.820,12.320,-0.200,0.000
1803.000,3.000,6.000,2.080,11.300,41.060,40.390,449.000,5.200,-0.670,11.640,-0.200,0.000
3611.000,3.000,5.000,1.970,10.700,41.230,40.930,795.000,5.000,-0.300,9.630,-0.040,-0.010
1112.000,2.000,6.000,1.980,9.700,41.060,40.320,887.000,5.500,-0.740,14.310,-0.210,0.000
1859.000,3.000,7.000,1.930,11.100,40.270,39.640,323.000,6.900,-0.630,14.730,-0.120,-0.060
1660.000,3.000,6.000,2.030,10.300,40.600,39.440,460.000,7.000,-1.160,13.190,-0.260,-0.120
1490.000,3.000,7.000,2.050,10.600,41.160,40.250,331.000,7.200,-0.910,11.760,-0.220,-0.020
1331.000,3.000,6.000,2.020,9.600,39.710,37.960,445.000,5.800,-1.750,13.240,-0.420,-0.070
1030.000,3.000,6.000,2.070,11.800,40.640,40.500,314.000,4.900,-0.140,12.080,-0.220,-0.010
1144.000,3.000,6.014,1.930,11.000,41.150,40.640,647.000,5.200,-0.510,13.700,-0.050,-0.010
5841.000,3.000,6.000,1.950,9.000,39.510,37.770,521.000,6.600,-1.740,15.440,-0.170,-0.070
1424.000,2.000,7.000,2.030,10.400,40.640,39.930,315.000,8.000,-0.710,11.640,-0.330,-0.090
4227.000,3.000,6.450,2.100,10.900,41.280,40.240,583.000,5.800,-1.040,14.590,-0.180,-0.010
1167.000,3.000,6.306,2.040,9.100,42.010,41.660,543.000,5.800,-0.350,12.370,0.030,0.040
1348.000,2.626,6.000,2.000,9.900,42.050,41.230,484.000,5.800,-0.820,9.770,-0.080,-0.010
1289.000,3.000,6.000,2.000,9.600,39.940,39.040,711.000,7.300,-0.900,12.050,-0.160,-0.050
1.000,3.000,6.000,2.140,10.800,38.570,35.940,353.000,9.600,-2.630,14.610,-0.070,-0.090
1772.000,2.586,6.000,2.000,11.600,40.160,39.360,480.000,9.000,-0.800,11.550,0.010,0.000
3978.000,3.000,6.000,2.000,9.400,40.470,38.980,582.000,7.600,-1.490,11.690,-0.350,-0.040
2492.000,2.000,6.000,1.990,11.900,40.500,39.930,390.000,6.000,-0.570,12.250,-0.150,0.000
1256.000,2.530,7.000,2.010,12.600,41.340,40.940,408.000,5.500,-0.400,12.990,-0.140,0.000
1502.000,3.000,6.000,1.970,10.600,41.300,40.700,401.000,5.300,-0.600,12.330,-0.160,-0.080
8687.000,3.000,7.000,2.050,11.200,41.150,40.680,364.000,6.300,-0.470,11.400,-0.130,-0.050
1821.000,3.000,6.266,2.060,9.300,40.030,38.970,730.000,6.600,-1.060,11.680,-0.090,0.010
3102.000,2.000,6.000,1.870,11.800,40.390,38.830,360.000,8.100,-1.560,12.350,-0.480,-0.110
1798.000,2.980,6.000,2.030,9.700,41.170,39.580,516.000,5.200,-1.590,11.420,-0.100,-0.050
481.000,2.000,5.910,1.980,12.000,40.380,40.020,441.000,6.100,-0.360,15.500,-0.120,0.030
1428.000,2.740,6.000,2.020,10.500,41.180,40.220,383.000,6.000,-0.960,11.380,-0.100,0.010
196.000,3.000,7.000,2.000,11.700,41.250,40.540,368.000,7.400,-0.710,9.890,-0.080,0.000
3291.000,3.000,6.000,2.030,11.400,41.830,41.120,807.000,5.000,-0.710,13.720,-0.300,-0.050
1504.000,3.000,7.000,2.000,10.500,41.090,40.340,507.000,6.000,-0.750,12.820,-0.050,-0.010
1307.000,3.000,7.000,2.030,12.400,40.770,39.430,343.000,9.200,-1.340,11.650,-0.350,-0.010
1479.000,3.000,6.000,1.930,10.400,41.700,40.560,529.000,5.200,-1.140,10.710,-0.090,-0.050
4272.000,3.000,7.000,1.890,10.000,40.210,39.840,355.000,7.400,-0.370,8.550,-0.240,0.010
2936.000,3.000,6.000,2.030,10.900,40.700,40.160,372.000,5.200,-0.540,11.250,-0.120,-0.030
83.000,3.000,7.000,1.960,11.800,41.130,40.420,461.000,6.600,-0.710,13.170,-0.360,-0.190
1546.000,2.728,6.000,2.050,10.100,40.160,39.040,481.000,6.300,-1.120,13.980,-0.290,0.000
1219.000,2.463,6.157,2.040,9.500,40.890,39.930,333.000,6.900,-0.960,12.990,-0.370,-0.030
113.000,2.763,6.000,1.930,10.400,41.170,40.840,343.000,5.400,-0.330,10.870,-0.110,0.020
1463.000,3.000,6.000,2.100,10.300,40.830,40.390,392.000,5.700,-0.440,13.800,-0.040,0.000
11301.000,2.606,6.000,2.110,11.000,41.180,40.610,492.000,5.500,-0.570,12.550,-0.060,-0.010
2647.000,2.514,6.000,2.070,12.800,41.030,40.670,407.000,5.700,-0.360,11.900,-0.280,0.050
1144.000,3.000,6.000,2.080,11.400,41.550,40.700,356.000,5.300,-0.850,11.690,-0.050,-0.010
1098.000,2.434,6.000,2.010,11.200,41.210,40.300,310.000,6.400,-0.910,11.830,-0.280,-0.050
2459.000,3.000,6.000,1.930,11.800,40.160,39.290,297.000,7.100,-0.870,13.850,-0.350,0.000
1340.000,2.000,6.000,1.990,12.000,41.330,40.360,555.000,5.300,-0.970,12.480,-0.150,0.030
5463.000,3.000,6.000,1.990,10.800,40.680,39.940,456.000,6.500,-0.740,12.120,-0.400,-0.180
4180.000,2.342,6.000,2.050,11.100,40.970,39.350,299.000,6.500,-1.620,12.460,-0.400,-0.080
1391.000,3.081,7.000,2.080,11.300,40.840,40.110,362.000,6.800,-0.730,10.760,-0.350,-0.160
2792.000,3.000,6.000,1.870,10.600,41.060,40.240,379.000,6.100,-0.820,12.640,-0.180,-0.090
7252.000,2.000,5.000,1.980,9.000,38.110,35.950,761.000,6.800,-2.160,13.660,-0.120,-0.010
5302.000,3.000,6.000,2.080,11.400,39.140,38.030,470.000,7.300,-1.110,9.260,-0.130,0.000
24.000,2.000,6.000,1.950,10.500,41.630,41.320,509.000,5.700,-0.310,9.700,-0.150,-0.040
1254.000,2.741,6.000,1.990,10.500,40.440,40.380,663.000,5.500,-0.060,8.410,-0.050,-0.010
1328.000,3.000,7.000,1.910,10.600,41.620,41.060,424.000,6.600,-0.560,13.290,-0.340,-0.120
1409.000,3.000,6.000,1.990,10.600,41.300,40.400,619.000,6.500,-0.900,12.170,-0.510,-0.270
3124.000,2.557,6.000,2.080,9.800,40.990,40.330,523.000,5.600,-0.660,9.790,-0.350,-0.030
1984.000,3.000,6.000,2.100,10.500,41.240,39.920,544.000,5.100,-1.320,12.940,-0.090,0.000
3229.000,3.000,6.000,2.020,10.400,40.270,36.980,566.000,7.100,-3.290,13.310,-0.290,-0.080
897.000,3.000,7.000,1.940,11.000,41.380,40.870,504.000,7.300,-0.510,12.170,-0.480,-0.100
3147.000,3.000,6.000,2.010,11.200,41.410,39.810,334.000,7.700,-1.600,12.810,-0.390,-0.140
1238.000,2.696,7.000,2.060,13.200,41.510,40.560,375.000,7.400,-0.950,12.370,-0.370,-0.090
1478.000,3.000,7.000,2.070,12.100,40.290,39.790,350.000,6.000,-0.500,11.630,-0.340,-0.060
931.000,3.000,6.000,2.000,9.700,41.350,40.810,839.000,5.200,-0.540,10.550,-0.380,-0.180
1041.000,2.730,6.000,1.980,9.900,39.820,39.240,364.000,8.400,-0.580,12.180,-0.490,-0.210
3045.000,2.640,7.000,1.980,11.600,40.790,40.370,510.000,6.800,-0.420,13.950,-0.180,-0.080
1074.000,2.449,6.000,1.950,10.900,41.120,40.550,380.000,6.700,-0.570,15.230,-0.580,-0.090
33.000,2.000,7.000,1.980,10.700,40.670,40.040,346.000,5.700,-0.630,10.140,0.010,0.030
1936.000,2.000,6.000,2.000,10.200,40.690,40.750,739.000,5.600,0.060,9.710,0.010,0.000
3368.000,2.000,6.050,2.050,13.000,40.890,40.610,393.000,5.100,-0.280,10.920,-0.240,0.000
3190.000,3.000,7.000,2.090,10.500,41.410,40.400,325.000,6.100,-1.010,10.640,-0.120,-0.040
1277.000,3.000,6.000,1.950,10.400,41.240,39.620,555.000,6.900,-1.620,12.470,-0.460,-0.010
666.000,3.000,6.000,2.040,10.200,40.850,39.810,369.000,5.400,-1.040,11.910,-0.250,-0.020
1628.000,3.000,6.000,1.940,9.400,41.300,40.200,721.000,5.200,-1.100,9.520,-0.380,-0.010
1501.000,3.000,6.253,1.960,11.100,40.260,39.580,455.000,8.200,-0.680,13.070,-0.480,-0.220
1321.000,2.824,7.000,2.070,12.800,41.950,41.450,450.000,6.500,-0.500,12.790,-0.410,-0.060
3204.000,3.000,6.000,1.960,10.200,40.740,39.870,534.000,5.900,-0.870,11.930,-0.310,-0.070
7129.000,3.000,6.000,2.080,10.300,38.230,36.980,616.000,7.100,-1.250,12.510,-0.100,-0.020
1485.000,3.000,7.000,1.950,13.400,41.020,40.100,308.000,6.200,-0.920,10.930,-0.490,-0.250
3878.000,2.798,6.000,2.010,10.300,41.020,40.070,593.000,5.600,-0.950,13.500,-0.280,-0.070
1274.000,3.000,6.000,2.020,11.600,40.980,40.460,577.000,5.500,-0.520,12.410,-0.220,-0.010
343.000,3.000,7.000,2.050,10.100,37.930,36.070,388.000,9.700,-1.860,10.190,-0.210,0.010
69.000,2.000,6.000,2.010,10.600,40.670,39.950,482.000,6.100,-0.720,10.840,-0.240,0.010
1001.000,3.000,7.000,2.060,10.500,41.020,40.480,344.000,7.300,-0.540,14.100,-0.340,-0.050
4319.000,3.000,6.000,2.040,11.100,41.430,39.700,573.000,6.800,-1.730,13.050,-0.030,0.010
8917.000,2.587,6.000,2.000,11.200,39.370,37.720,361.000,8.100,-1.650,11.910,-0.340,-0.040
186.000,3.000,7.000,2.010,10.300,41.350,40.830,376.000,6.600,-0.520,13.610,-0.420,-0.220
2488.000,2.567,6.000,2.000,10.800,39.610,39.290,356.000,6.500,-0.320,10.900,-0.150,-0.050
2710.000,2.000,6.358,1.910,11.600,40.800,39.970,308.000,6.000,-0.830,9.270,-0.400,-0.050
2520.000,3.000,6.000,2.020,10.600,41.630,40.490,473.000,5.800,-1.140,10.080,-0.230,-0.070
1169.000,3.000,7.000,2.000,12.100,41.110,40.030,330.000,6.900,-1.080,12.670,-0.340,-0.040
1001.000,2.931,6.000,2.070,10.100,41.400,40.660,465.000,7.200,-0.740,13.510,-0.270,-0.020
1639.000,2.429,6.000,2.060,10.800,40.940,39.380,490.000,7.600,-1.560,13.090,-0.170,-0.030
1782.000,3.000,6.000,2.090,10.300,40.120,38.210,758.000,6.700,-1.910,14.950,-0.110,-0.020
151.000,2.572,6.000,2.000,11.700,40.440,39.560,476.000,4.600,-0.880,9.800,-0.130,0.000
1423.000,3.000,6.000,2.030,9.200,39.500,37.760,538.000,8.600,-1.740,12.270,-0.730,-0.250
3382.000,3.000,6.000,2.050,10.800,40.690,40.030,402.000,7.400,-0.660,12.920,-0.230,-0.060
1526.000,3.000,7.000,1.870,10.500,40.270,39.800,225.000,7.700,-0.470,13.660,-0.290,-0.080
1066.000,3.000,6.290,2.070,11.600,40.820,40.440,438.000,5.400,-0.380,9.940,-0.120,-0.020
1655.000,2.000,7.000,1.870,10.600,40.380,38.420,429.000,10.300,-1.960,15.420,-0.690,-0.220
2755.000,3.000,6.000,1.930,9.700,38.180,37.520,485.000,8.300,-0.660,9.210,-0.170,-0.020
4524.000,3.000,7.000,1.990,10.300,39.290,37.960,426.000,8.400,-1.330,8.090,-0.140,0.020
38.000,2.661,7.000,1.960,10.600,41.270,40.000,488.000,7.200,-1.270,10.710,-0.280,-0.070
1575.000,2.568,5.989,2.010,11.200,41.120,40.150,522.000,4.500,-0.970,8.770,-0.020,0.010
1512.000,2.000,6.000,1.960,10.500,41.370,40.630,532.000,5.200,-0.740,10.760,-0.350,-0.050
3829.000,3.000,6.174,2.040,9.900,40.910,40.070,410.000,6.000,-0.840,9.950,-0.150,-0.010
3012.000,3.000,6.000,2.000,11.200,39.690,37.770,804.000,8.400,-1.920,14.040,-0.030,0.020
1532.000,3.000,6.628,1.970,12.400,40.080,39.520,189.000,6.400,-0.560,11.290,-0.110,0.060
1368.000,2.000,6.000,1.990,10.500,41.290,40.650,389.000,5.600,-0.640,11.720,-0.250,-0.060
870.000,2.775,6.000,2.010,9.800,39.390,37.240,633.000,6.200,-2.150,13.430,-0.190,-0.060
5708.000,2.000,6.000,1.980,10.500,41.750,40.870,469.000,4.800,-0.880,13.190,-0.280,-0.090
1245.000,3.000,6.000,1.990,12.900,41.010,40.160,242.000,8.600,-0.850,9.750,-0.260,-0.140
1325.000,3.000,7.000,1.930,11.600,40.280,39.730,288.000,7.300,-0.550,12.980,-0.660,-0.190
367.000,2.000,6.000,1.980,9.600,40.670,40.560,653.000,5.400,-0.110,11.250,-0.410,0.000
1778.000,3.000,6.000,2.020,10.200,41.890,40.720,432.000,6.500,-1.170,12.210,-0.350,-0.080
1600.000,2.513,6.000,2.030,11.000,41.150,40.170,452.000,5.300,-0.980,15.460,-0.070,0.010
296.000,3.000,6.477,2.060,12.100,39.750,38.550,568.000,7.000,-1.200,12.450,-0.020,0.000
1308.000,3.000,6.000,1.980,11.000,41.390,40.450,444.000,5.600,-0.940,12.740,-0.340,-0.050
4774.000,3.000,6.000,1.850,9.600,40.210,38.960,289.000,7.500,-1.250,14.620,-0.270,-0.050
859.000,2.000,7.000,2.050,10.000,41.060,39.250,790.000,6.900,-1.810,10.400,-0.050,-0.010
1389.000,2.629,7.000,2.030,12.100,41.010,40.520,283.000,6.700,-0.490,10.040,-0.250,-0.070
5656.000,3.000,6.000,2.050,10.000,39.150,37.840,528.000,7.400,-1.310,10.180,-0.130,0.000
799.000,3.000,6.000,2.060,9.800,40.840,37.540,751.000,6.600,-3.300,9.500,-0.560,-0.220
688.000,3.000,6.000,2.000,10.400,41.380,40.350,637.000,6.300,-1.030,14.120,-0.240,-0.140
2667.000,2.470,7.000,1.990,10.600,38.510,35.160,333.000,9.300,-3.350,12.770,-0.510,-0.060
1483.000,2.845,6.000,1.960,10.400,40.670,40.500,332.000,5.400,-0.170,12.760,-0.140,-0.080
1445.000,2.000,6.000,2.070,10.100,41.290,40.210,698.000,4.400,-1.080,13.830,-0.150,-0.030
2978.000,2.000,6.000,1.900,10.400,39.990,39.510,415.000,5.300,-0.480,14.010,-0.040,0.030
3861.000,3.000,6.000,2.140,10.100,38.090,36.680,390.000,9.400,-1.410,12.840,-0.440,-0.040
2435.000,2.000,7.000,2.050,10.500,40.180,39.590,392.000,6.400,-0.590,14.610,-0.130,0.020
15.000,2.000,6.000,1.860,11.200,41.370,40.310,298.000,8.800,-1.060,11.420,-0.590,-0.080
55.000,2.000,6.000,2.000,10.300,40.920,40.240,595.000,5.800,-0.680,11.480,-0.170,0.030
1363.000,3.000,6.000,1.930,10.100,41.340,40.540,451.000,6.500,-0.800,12.690,-0.130,-0.080
8282.000,3.000,7.000,2.020,11.300,40.480,39.730,352.000,8.300,-0.750,11.550,-0.220,-0.020
5692.000,3.000,7.000,1.960,10.900,41.240,40.210,274.000,7.400,-1.030,11.860,-0.330,-0.050
1042.000,2.603,6.000,2.000,11.200,41.440,40.540,467.000,5.500,-0.900,10.350,-0.180,-0.060
70.000,3.000,6.000,1.990,11.200,41.110,40.740,543.000,4.600,-0.370,10.870,-0.180,-0.040
3668.000,3.000,6.000,2.040,10.700,40.620,37.250,692.000,7.300,-3.370,11.320,-0.220,0.010
2973.000,2.000,6.000,2.030,10.600,40.870,39.890,388.000,6.600,-0.980,13.750,-0.060,0.020
1046.000,3.000,6.000,1.960,10.900,42.140,40.540,776.000,5.400,-1.600,11.670,-0.130,-0.040
1937.000,3.000,6.872,2.000,11.000,40.950,40.590,400.000,8.300,-0.360,12.640,-0.120,-0.110
1490.000,2.000,6.000,2.010,11.000,40.670,39.930,549.000,5.800,-0.740,12.100,-0.150,-0.050
1691.000,3.000,6.000,2.020,10.300,41.000,40.340,495.000,5.600,-0.660,14.810,-0.260,0.020
1368.000,2.000,6.000,1.990,10.500,41.290,40.650,389.000,5.600,-0.640,11.720,-0.250,-0.060
1244.000,3.000,6.000,2.040,11.200,41.240,40.500,559.000,5.200,-0.740,12.780,-0.170,-0.100
205.000,3.000,7.000,2.020,11.800,41.000,40.540,314.000,8.400,-0.460,13.040,-0.030,-0.020
6267.000,3.000,6.000,2.000,11.100,41.590,40.490,457.000,5.700,-1.100,10.810,-0.130,-0.030
1384.000,2.418,6.000,1.950,10.900,40.940,40.330,460.000,5.000,-0.610,14.050,-0.140,-0.020
7370.000,3.000,6.000,2.040,12.300,40.690,40.260,308.000,5.700,-0.430,8.710,-0.110,0.000
4.000,3.000,7.000,2.070,11.200,39.160,38.080,420.000,7.800,-1.080,12.790,-0.320,-0.100
229.000,2.446,6.000,1.910,9.500,39.430,39.010,740.000,4.700,-0.420,9.700,-0.280,-0.030
7080.000,2.000,7.000,1.990,10.900,41.310,40.250,291.000,5.500,-1.060,13.410,-0.120,0.000
1313.000,2.719,6.000,1.920,9.900,42.110,40.760,553.000,6.700,-1.350,12.980,-0.210,-0.070
4225.000,3.000,7.045,1.930,11.500,41.040,39.880,261.000,8.500,-1.160,10.010,-0.430,-0.020
2610.000,3.000,5.913,2.070,11.900,41.150,40.390,373.000,5.400,-0.760,11.770,-0.380,-0.010
106.000,3.000,6.000,2.090,9.800,38.780,37.500,499.000,8.400,-1.280,11.400,-0.050,0.000
150.000,2.000,6.000,2.060,10.400,39.670,37.220,523.000,7.800,-2.450,12.460,-0.100,0.000
332.000,3.000,7.000,1.890,10.000,40.120,36.440,553.000,8.800,-3.680,11.760,-0.600,-0.080
1910.000,3.000,6.000,2.080,11.200,38.570,36.820,638.000,6.900,-1.750,11.900,-0.040,0.020
1597.000,3.000,7.000,2.000,10.800,40.890,40.070,381.000,6.100,-0.820,12.580,-0.230,-0.060
490.000,2.000,6.000,2.100,9.200,41.390,40.250,669.000,5.100,-1.140,12.840,-0.160,0.030
2937.000,2.370,6.000,2.000,9.300,40.030,37.710,831.000,7.100,-2.320,10.670,-0.280,-0.080
842.000,3.000,6.000,1.940,10.700,41.190,40.630,500.000,5.200,-0.560,12.590,-0.230,-0.060
8916.000,3.000,6.000,1.980,10.100,39.300,36.750,574.000,5.800,-2.550,10.920,-0.240,-0.010
1857.000,3.000,7.000,2.000,9.200,40.380,38.760,520.000,7.200,-1.620,12.420,-0.090,-0.020
848.000,2.000,6.000,2.020,10.900,40.580,39.550,872.000,5.200,-1.030,7.760,-0.020,0.010
2432.000,2.000,6.000,1.780,10.900,40.760,40.060,357.000,6.300,-0.700,10.550,-0.110,-0.050
3035.000,3.000,6.000,1.960,10.900,40.270,40.090,281.000,6.500,-0.180,12.080,-0.150,-0.010
4417.000,3.000,7.000,1.960,11.600,40.550,40.010,449.000,7.800,-0.540,12.090,-0.060,-0.030
1602.000,2.963,6.000,2.040,9.700,40.040,39.640,635.000,7.100,-0.400,11.910,-0.040,0.000
7399.000,2.000,6.652,2.080,10.600,37.790,35.610,406.000,10.100,-2.180,11.600,-0.620,-0.120
1065.000,3.000,6.124,1.980,10.700,41.520,40.380,421.000,5.800,-1.140,11.730,-0.340,-0.120
3969.000,2.000,6.000,1.880,10.600,40.260,39.630,438.000,4.800,-0.630,7.850,-0.120,-0.020
17287.000,3.000,5.819,2.020,9.000,39.980,39.430,884.000,5.600,-0.550,12.330,-0.400,-0.110
97.000,2.371,6.805,2.060,9.800,39.290,38.190,349.000,9.600,-1.100,9.990,-0.090,-0.010
3013.000,3.000,6.000,2.000,10.800,41.770,40.890,287.000,7.100,-0.880,13.000,-0.510,-0.230
2393.000,3.000,6.000,2.050,9.900,40.000,37.730,860.000,6.200,-2.270,13.830,-0.090,0.010
1279.000,3.000,5.859,2.070,9.800,41.010,40.340,582.000,5.300,-0.670,9.910,-0.120,0.010
2003.000,2.000,6.000,2.000,10.200,40.650,40.500,496.000,6.500,-0.150,9.980,-0.030,0.030
3890.000,2.398,7.000,2.090,9.600,38.270,34.780,569.000,10.500,-3.490,11.990,-0.050,0.010
3150.000,3.000,6.000,1.840,9.200,36.930,36.370,307.000,7.300,-0.560,9.180,-0.150,-0.040
1363.000,3.000,7.000,2.060,10.400,39.070,37.560,483.000,8.700,-1.510,11.140,-0.060,-0.020
7205.000,2.000,7.000,2.070,11.600,41.010,39.750,337.000,7.700,-1.260,10.280,-0.310,-0.150
182.000,3.000,7.000,1.940,11.200,40.640,40.000,281.000,7.600,-0.640,12.900,-0.510,-0.130
1487.000,3.000,5.938,2.150,10.400,40.610,39.510,254.000,7.000,-1.100,11.040,-0.010,0.060
1563.000,3.000,6.000,2.030,11.200,41.380,40.940,516.000,6.700,-0.440,14.800,-0.060,-0.020
976.000,3.000,7.000,1.980,10.200,38.540,35.050,463.000,9.400,-3.490,14.180,-0.330,-0.120
1273.000,2.495,5.000,2.090,10.800,41.160,40.560,481.000,4.400,-0.600,9.260,-0.180,-0.010
3037.000,3.000,7.000,2.070,10.500,39.920,38.880,265.000,8.100,-1.040,12.820,-0.450,-0.080
2817.000,3.000,7.000,2.110,11.000,40.520,39.760,427.000,7.300,-0.760,8.800,-0.180,-0.110
5275.000,3.000,6.000,2.040,9.800,41.790,41.030,633.000,6.500,-0.760,10.180,-0.160,-0.040
1414.000,2.852,7.000,2.020,11.600,40.890,40.090,470.000,6.300,-0.800,11.670,-0.020,0.010
5641.000,2.620,6.000,2.010,10.600,40.000,39.850,432.000,8.200,-0.150,12.850,-0.110,0.000
1638.000,2.000,6.000,2.050,12.300,42.670,41.500,682.000,4.200,-1.170,13.230,-0.240,-0.100
1252.000,2.000,6.000,1.920,10.800,40.500,39.280,429.000,6.000,-1.220,14.280,-0.160,0.000
1765.000,3.000,7.000,1.850,12.200,41.440,40.620,320.000,4.800,-0.820,12.230,-0.290,-0.080
3225.000,3.000,6.000,2.090,11.200,41.360,40.580,273.000,7.000,-0.780,10.140,-0.220,-0.060
1687.000,2.822,5.910,2.050,11.400,41.050,40.170,444.000,6.000,-0.880,11.840,-0.280,-0.030
2493.000,3.000,7.000,1.890,13.600,41.100,40.310,312.000,8.200,-0.790,11.000,-0.340,-0.140
54.000,3.000,7.000,2.010,11.000,39.870,39.520,348.000,6.200,-0.350,11.940,-0.100,0.000
2657.000,3.000,6.000,2.120,9.300,39.570,36.860,674.000,7.100,-2.710,13.280,-0.050,-0.010
4564.000,3.000,6.000,1.870,11.700,40.650,39.880,291.000,7.500,-0.770,11.920,-0.590,-0.240
1068.000,3.000,7.000,1.910,12.600,41.300,40.350,312.000,9.500,-0.950,11.930,-0.260,-0.080
1125.000,3.000,7.000,1.950,11.000,40.750,40.300,364.000,6.900,-0.450,11.920,-0.740,-0.220
2720.000,3.000,6.135,2.030,9.600,41.080,38.870,568.000,6.400,-2.210,13.370,-0.130,-0.020
1574.000,2.430,6.000,2.100,9.400,41.350,40.190,648.000,5.200,-1.160,11.000,-0.140,0.030
35.000,2.644,7.000,2.090,10.200,39.880,38.010,585.000,8.900,-1.870,10.110,-0.320,-0.020
1602.000,2.572,6.063,2.030,9.300,41.650,41.160,526.000,6.800,-0.490,11.540,-0.090,-0.040
8518.000,2.777,6.171,2.110,10.100,40.930,40.170,438.000,6.000,-0.760,11.020,-0.160,-0.020
1773.000,2.811,6.000,2.020,10.500,40.440,39.820,541.000,5.700,-0.620,13.450,-0.190,-0.060
4063.000,2.440,5.000,2.010,10.600,41.550,39.980,840.000,5.000,-1.570,13.310,-0.040,0.050
1188.000,3.000,7.000,2.090,9.300,38.310,36.610,570.000,7.700,-1.700,10.490,-0.390,-0.020
1495.000,3.000,6.000,2.010,10.100,41.300,40.550,470.000,7.600,-0.750,12.600,-0.010,0.010
412.000,3.000,6.000,2.030,10.700,40.100,39.310,588.000,5.600,-0.790,13.410,-0.170,-0.080
1525.000,3.000,6.000,2.160,9.200,37.250,35.280,430.000,9.700,-1.970,13.390,-0.280,-0.080
4543.000,2.571,6.000,2.040,9.600,40.390,38.920,309.000,7.100,-1.470,11.950,-0.380,-0.040
5793.000,3.000,6.000,2.020,10.400,40.480,38.920,516.000,6.700,-1.560,13.020,-0.080,-0.020
2777.000,3.000,6.000,2.060,11.500,39.440,38.250,426.000,6.700,-1.190,10.500,-0.150,-0.070
207.000,3.000,6.277,1.990,12.300,40.630,39.890,330.000,6.100,-0.740,11.400,-0.220,0.020
2537.000,3.000,6.000,1.960,9.900,42.190,40.250,712.000,6.500,-1.940,9.690,-0.500,-0.040
2787.000,3.000,6.000,2.000,8.900,36.850,35.850,580.000,6.600,-1.000,10.920,-0.120,-0.040
1660.000,2.000,6.000,2.070,11.300,41.070,40.760,305.000,5.600,-0.310,14.990,-0.020,0.010
4531.000,3.000,6.000,2.060,9.700,41.860,41.080,590.000,4.300,-0.780,11.660,-0.080,-0.010
1387.000,3.000,6.000,2.080,11.000,40.590,39.750,394.000,5.700,-0.840,11.660,-0.120,0.010
1285.000,2.681,7.000,1.840,11.400,40.470,38.000,407.000,8.700,-2.470,9.970,-0.110,0.040
1667.000,2.000,7.000,2.050,11.200,42.390,41.130,415.000,5.800,-1.260,13.260,-0.080,0.040
2252.000,3.000,7.000,2.040,11.800,40.410,39.830,291.000,7.700,-0.580,10.000,-0.260,-0.010
74.000,3.000,6.000,2.060,11.600,41.040,40.130,780.000,5.200,-0.910,12.280,-0.090,0.000
7488.000,3.000,6.000,2.040,11.500,41.810,40.830,468.000,5.300,-0.980,12.910,-0.260,-0.070
1090.000,3.000,6.000,1.990,11.200,41.130,40.740,342.000,4.800,-0.390,12.900,-0.160,-0.090
1886.000,2.630,6.000,2.030,11.100,40.950,40.010,502.000,5.200,-0.940,14.660,-0.230,0.010
1586.000,3.000,6.000,2.080,11.100,40.910,40.100,505.000,6.100,-0.810,14.440,-0.230,-0.080
5971.000,2.590,6.000,2.140,9.500,39.450,38.260,728.000,6.900,-1.190,13.820,-0.420,-0.020
2814.000,2.000,6.000,1.930,9.700,40.480,39.500,866.000,6.200,-0.980,11.250,-0.240,-0.080
257.000,2.000,7.000,2.020,11.300,40.830,39.950,327.000,9.600,-0.880,12.150,-0.040,-0.040
5145.000,3.000,6.000,2.100,9.100,40.440,38.530,427.000,6.900,-1.910,11.820,-0.130,0.010
1529.000,3.000,6.000,2.000,11.300,41.310,40.600,226.000,5.100,-0.710,12.530,-0.400,-0.070
1044.000,3.000,6.000,2.010,10.800,41.880,40.010,795.000,5.600,-1.870,10.430,-0.170,-0.070
2043.000,2.472,6.000,1.880,11.100,41.720,40.490,542.000,6.700,-1.230,13.960,-0.090,-0.060
72.000,3.000,6.000,2.010,11.000,40.950,40.010,555.000,6.000,-0.940,12.680,-0.100,0.020
1696.000,3.000,6.000,1.970,9.300,41.930,40.650,773.000,5.600,-1.280,12.330,-0.220,-0.070
