bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac hoj O2,Sensitivity [pA/M],t on 10/5 mM glu/lac [s],Lav O2 - Hoj O2
,28230,R29629,932-029,28-04-2021 11:48,29-04-2021 09:54,Glu,1,1,1903,2.287,34.09,26.06,5.22,29.34,25.92,1174.79,26.35,58.659,33.164,116.095,174.142,36.434,Failed,1.97,0.23,0.3,4.0,787,0.8,1.14
,28285,R29648,932-029,28-04-2021 12:46,29-04-2021 08:40,Glu,3,12,1083,2.509,32.72,25.57,6.577000000000001,27.16,26.68,1165.82,21.471,58.76,31.099,105.109,168.174,31.311999999999998,Failed,1.48,0.43,0.4,3.51,460,0.6,0.83
,28217,R29616,932-029,27-04-2021 14:06,29-04-2021 07:18,Glu,1,16,1700,2.387,34.04,25.57,5.843,28.52,26.54,1161.01,26.264,61.942,30.798000000000002,136.489,173.236,33.402,Failed,1.4,0.24,0.1,3.35,507,1.6,0.83
,28276,R29639,932-029,27-04-2021 19:12,29-04-2021 05:46,Glu,2,13,1588,2.296,34.44,25.48,5.865,28.12,26.24,1162.57,23.513,64.548,34.06,141.89700000000005,210.218,33.678000000000004,Failed,1.58,0.3,0.2,3.88,404,0.3,0.53
,28210,R29609,932-029,27-04-2021 02:20,29-04-2021 05:22,Glu,8,14,2260,2.559,32.14,27.56,6.438,28.15,26.1,1168.51,26.125999999999998,60.547,32.951,147.757,205.804,35.918,Failed,1.3,0.19,1.0,5.26,438,1.5,0.32
,28281,R29644,932-029,28-04-2021 08:30,29-04-2021 03:10,Glu,8,16,725,2.513,29.7,27.25,5.933,27.29,26.61,1157.83,20.958000000000002,56.188,31.256,120.875,194.452,31.351,Failed,5.13,0.25,0.3,4.54,432,1.4,0.02
,28216,R29615,932-029,27-04-2021 08:04,28-04-2021 16:04,Glu,3,15,1464,2.627,33.06,25.92,6.702999999999999,28.23,26.35,1163.74,27.092,64.503,31.766,136.489,178.486,33.336,Failed,0.77,0.19,0.4,2.8,171,6.0,0.6
,28233,R29632,932-029,27-04-2021 19:32,28-04-2021 13:32,Glu,1,15,2256,2.334,35.1,25.36,6.0089999999999995,28.7,26.22,1170.73,27.22300000000001,57.025,31.693,131.24,188.985,34.547,Failed,1.55,0.21,1.4,2.07,625,2.4,2.54
,28215,R29614,932-029,27-04-2021 03:12,28-04-2021 12:40,Glu,8,11,1221,2.551,35.2,25.83,5.77,28.52,25.62,1169.09,22.506,60.772,33.641999999999996,147.15200000000004,199.707,33.105,Failed,0.77,0.26,0.1,4.27,593,2.6,3.86
,28212,R29611,932-029,27-04-2021 00:40,28-04-2021 07:30,Glu,2,11,687,2.31,33.85,26.88,6.6960000000000015,27.51,26.84,1182.86,24.909000000000002,65.327,34.376,137.153,211.005,32.302,Failed,0.78,0.16,3.0,4.02,515,4.4,0.85
,28133,R29569,932-029,26-04-2021 11:22,28-04-2021 03:20,Glu,8,14,1063,2.526,32.35,26.22,7.03,26.79,27.07,1150.6,26.362,63.075,31.281,110.241,199.484,33.035,Failed,0.8,0.15,0.3,1.92,302,7.2,2.58
