2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.24,1.1,4.75,245,1.2,0.43
0.24,1.1,4.75,245,1.2,0.43
0.17,1.0,3.17,275,0.3,0.54
0.17,1.0,3.17,275,0.3,0.54
0.23,0.4,3.57,81,1.3,1.11
0.23,0.4,3.57,81,1.3,1.11
0.29,0.9,4.48,260,0.5,0.69
0.29,0.9,4.48,260,0.5,0.69
0.3,0.8,3.77,260,0.0,0.14
0.3,0.8,3.77,260,0.0,0.14
0.35,1.0,4.09,283,0.6,0.23
0.35,1.0,4.09,283,0.6,0.23
0.26,2.0,4.52,20,0.4,0.49
0.26,2.0,4.52,20,0.4,0.49
0.27,1.9,4.01,8,0.5,0.14
0.27,1.9,4.01,8,0.5,0.14
0.3,1.9,3.99,111,0.6,0.04
0.3,1.9,3.99,111,0.6,0.04
0.24,1.0,4.52,76,0.2,0.25
0.24,1.0,4.52,76,0.2,0.25
0.38,0.5,3.0,102,0.3,0.77
0.38,0.5,3.0,102,0.3,0.77
0.23,0.8,4.04,119,0.2,0.28
0.23,0.8,4.04,119,0.2,0.28
0.17,2.0,2.68,324,1.5,1.1
0.17,2.0,2.68,324,1.5,1.1
0.24,1.1,4.34,201,1.6,0.43
0.24,1.1,4.34,201,1.6,0.43
0.19,1.4,4.52,106,0.3,0.25
0.19,1.4,4.52,106,0.3,0.25
0.21,1.7,3.22,227,1.1,1.1
0.21,1.7,3.22,227,1.1,1.1
0.26,1.4,4.19,289,0.3,0.53
0.26,1.4,4.19,289,0.3,0.53
0.25,0.8,2.78,223,1.4,0.06
0.25,0.8,2.78,223,1.4,0.06
0.25,1.1,3.92,175,0.4,0.21
0.25,1.1,3.92,175,0.4,0.21
0.27,0.6,2.78,343,3.5,0.66
0.27,0.6,2.78,343,3.5,0.66
0.26,0.1,3.82,72,2.1,1.33
0.26,0.1,3.82,72,2.1,1.33
0.2,0.2,3.58,206,1.0,1.57
0.2,0.2,3.58,206,1.0,1.57
0.32,0.8,5.01,399,0.3,0.47
0.32,0.8,5.01,399,0.3,0.47
0.28,0.6,4.06,248,2.7,0.56
0.28,0.6,4.06,248,2.7,0.56
0.25,0.6,3.71,228,3.6,0.15
0.25,0.6,3.71,228,3.6,0.15
0.21,0.1,4.16,153,0.7,0.22
0.21,0.1,4.16,153,0.7,0.22
0.16,2.5,2.96,232,1.8,1.13
0.16,2.5,2.96,232,1.8,1.13
0.23,2.6,3.7,195,0.9,0.07
0.23,2.6,3.7,195,0.9,0.07
0.2,0.6,4.85,119,0.3,0.48
0.2,0.6,4.85,119,0.3,0.48
0.17,0.4,3.0,319,1.8,0.84
0.17,0.4,3.0,319,1.8,0.84
0.2,0.7,4.96,178,0.3,0.19
0.2,0.7,4.96,178,0.3,0.19
0.25,0.4,3.92,204,0.1,0.19
0.25,0.4,3.92,204,0.1,0.19
0.19,0.2,4.16,269,1.7,1.29
0.19,0.2,4.16,269,1.7,1.29
0.23,0.6,3.33,266,2.3,1.52
0.23,0.6,3.33,266,2.3,1.52
0.19,1.6,4.95,361,0.4,0.41
0.19,1.6,4.95,361,0.4,0.41
0.18,0.0,2.62,299,2.8,2.52
0.18,0.0,2.62,299,2.8,2.52
0.21,0.4,2.83,124,0.7,1.58
0.21,0.4,2.83,124,0.7,1.58
0.29,1.0,4.25,202,2.6,0.5
0.29,1.0,4.25,202,2.6,0.5
0.2,0.5,4.56,61,0.1,0.12
0.2,0.5,4.56,61,0.1,0.12
0.22,1.2,4.44,109,1.3,0.19
0.22,1.2,4.44,109,1.3,0.19
0.24,1.0,4.53,344,0.4,0.34
0.24,1.0,4.53,344,0.4,0.34
0.25,0.8,4.58,292,0.6,0.54
0.25,0.8,4.58,292,0.6,0.54
0.23,1.4,4.78,380,0.9,0.19
0.23,1.4,4.78,380,0.9,0.19
0.07,0.1,0.0,263,2.9,3.91
0.07,0.1,0.0,263,2.9,3.91
0.19,1.0,3.83,220,2.8,0.43
0.19,1.0,3.83,220,2.8,0.43
0.22,1.4,3.93,220,3.9,0.51
0.22,1.4,3.93,220,3.9,0.51
0.25,1.0,4.25,184,1.1,1.23
0.25,1.0,4.25,184,1.1,1.23
0.14,0.2,2.57,103,1.6,0.76
0.14,0.2,2.57,103,1.6,0.76
0.2,0.3,3.4,60,1.1,1.09
0.2,0.3,3.4,60,1.1,1.09
0.2,0.2,2.97,386,0.8,1.17
0.2,0.2,2.97,386,0.8,1.17
0.19,0.1,2.41,70,1.6,1.65
0.19,0.1,2.41,70,1.6,1.65
0.26,3.2,3.68,190,1.8,1.73
0.26,3.2,3.68,190,1.8,1.73
0.2,2.0,3.37,201,2.0,1.04
0.2,2.0,3.37,201,2.0,1.04
0.21,3.7,4.27,221,0.3,1.38
0.21,3.7,4.27,221,0.3,1.38
0.17,0.6,2.7,278,0.8,1.37
0.17,0.6,2.7,278,0.8,1.37
0.22,1.9,4.72,285,1.5,0.15
0.22,1.9,4.72,285,1.5,0.15
0.3,1.0,3.87,224,0.3,0.24
0.3,1.0,3.87,224,0.3,0.24
0.24,2.0,4.62,329,0.8,0.33
0.24,2.0,4.62,329,0.8,0.33
0.27,0.9,4.89,217,1.4,0.17
0.27,0.9,4.89,217,1.4,0.17
0.25,1.3,4.9,248,2.2,0.3
0.25,1.3,4.9,248,2.2,0.3
0.3,1.5,4.8,286,4.2,0.49
0.3,1.5,4.8,286,4.2,0.49
0.25,0.6,4.07,21,0.3,0.13
0.25,0.6,4.07,21,0.3,0.13
0.23,0.9,4.99,173,0.7,0.16
0.23,0.9,4.99,173,0.7,0.16
0.25,0.7,4.55,44,0.4,0.44
0.25,0.7,4.55,44,0.4,0.44
0.25,0.7,4.54,31,0.7,0.21
0.25,0.7,4.54,31,0.7,0.21
0.23,0.1,3.38,28,0.3,0.42
0.23,0.1,3.38,28,0.3,0.42
0.19,0.3,2.49,22,0.2,1.19
0.19,0.3,2.49,22,0.2,1.19
0.24,1.2,4.37,338,0.3,0.3
0.24,1.2,4.37,338,0.3,0.3
0.22,2.0,4.15,367,2.9,0.29
0.22,2.0,4.15,367,2.9,0.29
0.25,0.5,4.33,179,0.1,0.05
0.25,0.5,4.33,179,0.1,0.05
0.23,0.7,4.28,270,1.0,0.3
0.23,0.7,4.28,270,1.0,0.3
0.25,0.9,4.29,231,0.9,0.25
