bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,Timestamp,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2,40/25 mM glu/lac høj O2,Sensitivity [pA/µM],Lav O2 - Høj O2
932-029-R28498-N008-A10-Approved,26292,R28498,932-029,20-02-2021 03:58,Glu,8,10,1813,2.5869999999999997,29.02,27.26,5.489,Approved,7.98,0.15,0.0,,,0.5,,4.75,49.0,0.35
932-029-R28498-N003-A3-Approved,26292,R28498,932-029,20-02-2021 03:38,Glu,3,3,1843,2.502,29.75,26.68,6.996,Approved,7.98,0.19,1.0,,,5.0,,5.13,347.0,0.03
932-029-R28498-N002-A5-Approved,26292,R28498,932-029,20-02-2021 03:36,Glu,2,5,1846,2.498,30.07,26.42,6.2589999999999995,Approved,7.98,0.25,0.0,,,0.3,,4.98,226.0,0.42
932-029-R28498-N001-A2-Approved,26292,R28498,932-029,20-02-2021 03:32,Glu,1,2,1863,2.478,31.28,25.53,6.722,Approved,7.98,0.21,0.2,,,2.0,,3.44,260.0,0.23
932-029-R28528-N008-A6-Approved,26337,R28528,932-029,20-02-2021 02:00,Glu,8,6,5787,2.519,27.7,28.25,6.181,Approved,1.65,0.16,2.1,,,0.5,,4.87,251.0,0.05
932-029-R28528-N003-A14-Approved,26337,R28528,932-029,20-02-2021 01:44,Glu,3,14,5802,2.617,27.96,28.17,5.294,Approved,1.72,0.14,0.7,,,0.4,,5.13,6.0,0.13
932-029-R28528-N002-A2-Approved,26337,R28528,932-029,20-02-2021 01:42,Glu,2,2,5801,2.417,27.85,28.13,6.282,Approved,1.65,0.17,2.6,,,2.6,,4.44,292.0,0.18
932-029-R28528-N001-A11-Approved,26337,R28528,932-029,20-02-2021 01:38,Glu,1,11,5807,2.5180000000000002,27.75,28.11,6.4079999999999995,Approved,1.62,0.16,1.3,,,4.2,,3.58,291.0,0.9
932-029-R28490-N008-A16-Approved,26254,R28490,932-029,20-02-2021 01:34,Glu,8,16,3799,2.6430000000000002,27.75,28.04,5.499,Approved,1.62,0.13,2.0,,,0.0,,4.74,87.0,0.04
932-029-R28490-N003-A7-Approved,26254,R28490,932-029,20-02-2021 01:16,Glu,3,7,3815,2.465,27.88,27.94,5.479,Approved,1.62,0.18,1.8,,,0.6,,4.29,23.0,0.52
932-029-R28490-N002-A1-Approved,26254,R28490,932-029,20-02-2021 01:14,Glu,2,1,3818,2.5980000000000003,28.08,27.94,6.456,Approved,1.63,0.05,1.5,,,1.5,,2.62,210.0,0.95
932-029-R28490-N001-A16-Approved,26254,R28490,932-029,20-02-2021 01:10,Glu,1,16,3821,2.452,28.15,27.9,6.105,Approved,1.7,0.09,1.5,,,4.3,,2.96,170.0,1.63
932-029-R28513-N008-A10-Approved,26307,R28513,932-029,20-02-2021 01:06,Glu,8,10,3540,2.8360000000000003,28.13,27.83,5.942,Approved,1.35,0.12,0.2,,,2.6,,3.89,268.0,0.25
932-029-R28513-N003-A12-Approved,26307,R28513,932-029,20-02-2021 00:50,Glu,3,12,3557,2.419,28.13,27.65,5.7360000000000015,Approved,1.35,0.14,0.5,,,0.3,,3.79,239.0,0.53
932-029-R28513-N002-A11-Approved,26307,R28513,932-029,20-02-2021 00:48,Glu,2,11,3568,2.565,28.08,27.64,5.645,Approved,1.35,0.15,0.4,,,0.0,,4.82,94.0,0.24
932-029-R28513-N001-A12-Approved,26307,R28513,932-029,20-02-2021 00:44,Glu,1,12,3569,2.7310000000000003,27.91,27.58,6.072,Approved,1.27,0.09,0.9,,,2.2,,4.4,261.0,0.12
932-029-R28527-N008-A15-Approved,26336,R28527,932-029,19-02-2021 23:56,Glu,8,15,3569,2.662,28.33,26.86,5.666,Approved,1.58,0.13,0.1,,,0.1,,5.49,42.0,0.49
932-029-R28527-N001-A2-Approved,26336,R28527,932-029,19-02-2021 23:32,Glu,1,2,3583,2.491,29.13,26.56,5.567,Approved,1.58,0.13,0.6,,,1.2,,4.73,235.0,1.01
932-029-R28484-N008-A15-Approved,26248,R28484,932-029,19-02-2021 23:28,Glu,8,15,3886,2.55,29.06,26.47,5.71,Approved,3.58,0.13,0.1,,,0.2,,4.7,179.0,0.36
932-029-R28484-N003-A11-Approved,26248,R28484,932-029,19-02-2021 23:08,Glu,3,11,3908,2.4219999999999997,29.7,26.03,5.67,Approved,3.65,0.14,0.4,,,0.6,,4.69,104.0,0.43
932-029-R28484-N002-A14-Approved,26248,R28484,932-029,19-02-2021 23:06,Glu,2,14,3913,2.501,29.63,25.99,5.279,Approved,3.6,0.12,0.3,,,1.2,,5.44,118.0,0.19
932-029-R28484-N001-A9-Approved,26248,R28484,932-029,19-02-2021 23:02,Glu,1,9,3911,2.553,30.13,25.92,6.246,Approved,3.57,0.08,0.2,,,2.0,,3.91,243.0,0.67
932-029-R28486-N008-A13-Approved,26250,R28486,932-029,19-02-2021 22:56,Glu,8,13,3824,2.4019999999999997,30.08,25.76,5.6579999999999995,Approved,1.63,0.15,2.2,,,0.8,,4.83,146.0,0.6
932-029-R28486-N003-A8-Approved,26250,R28486,932-029,19-02-2021 22:38,Glu,3,8,3841,2.5469999999999997,30.66,25.27,5.852,Approved,1.7,0.26,2.2,,,1.5,,3.79,164.0,0.44
932-029-R28486-N002-A3-Approved,26250,R28486,932-029,19-02-2021 22:34,Glu,2,3,3847,2.447,30.57,25.18,6.48,Approved,1.63,0.03,2.3,,,3.7,,0.91,217.0,1.18
932-029-R28486-N001-A11-Approved,26250,R28486,932-029,19-02-2021 22:30,Glu,1,11,3836,2.5340000000000003,30.98,25.06,5.6370000000000005,Approved,1.6,0.16,2.6,,,0.8,,4.44,200.0,0.76
932-029-R28447-N008-A9-Approved,26196,R28447,932-029,19-02-2021 02:12,Glu,8,9,5654,2.7039999999999997,31.33,26.08,5.1320000000000014,Approved,4.27,0.16,0.8,,,0.3,,3.85,102.0,0.05
932-029-R28447-N003-A15-Approved,26196,R28447,932-029,19-02-2021 01:56,Glu,3,15,5691,2.602,30.98,26.35,5.657,Approved,4.35,0.1,1.5,,,0.0,,4.15,103.0,0.48
932-029-R28447-N002-A6-Approved,26196,R28447,932-029,19-02-2021 01:54,Glu,2,6,5692,2.4859999999999998,30.67,26.36,5.867000000000001,Approved,4.23,0.19,1.8,,,2.3,,3.03,140.0,0.6
932-029-R28447-N001-A5-Approved,26196,R28447,932-029,19-02-2021 01:50,Glu,1,5,5705,2.6889999999999996,30.76,26.45,5.477,Approved,4.2,0.11,1.0,,,1.9,,2.12,72.0,2.14
932-029-R28487-N008-A13-Approved,26251,R28487,932-029,19-02-2021 01:48,Glu,8,13,3925,2.41,30.93,26.45,5.8820000000000014,Approved,7.98,0.15,0.3,,,4.1,,4.49,111.0,1.3
932-029-R28487-N003-A11-Approved,26251,R28487,932-029,19-02-2021 01:30,Glu,3,11,3965,2.35,30.96,26.49,5.602,Approved,7.98,0.13,0.6,,,2.1,,3.49,44.0,0.46
932-029-R28487-N002-A7-Approved,26251,R28487,932-029,19-02-2021 01:26,Glu,2,7,3967,2.407,31.33,26.51,6.492000000000001,Approved,7.98,0.22,1.4,,,0.9,,3.56,316.0,0.49
932-029-R28487-N001-A8-Approved,26251,R28487,932-029,19-02-2021 01:24,Glu,1,8,3970,2.378,30.64,26.66,6.809,Approved,7.98,0.31,2.7,,,3.1,,5.39,401.0,0.44
932-029-R28491-N008-A12-Approved,26255,R28491,932-029,19-02-2021 01:14,Glu,8,12,4161,2.405,29.14,27.64,5.591,Approved,1.37,0.16,0.4,,,0.1,,4.29,76.0,0.34
932-029-R28491-N003-A12-Approved,26255,R28491,932-029,19-02-2021 00:56,Glu,3,12,4212,2.38,29.21,27.62,5.803999999999999,Approved,1.32,0.05,0.8,,,2.3,,1.77,105.0,2.68
932-029-R28491-N002-A12-Approved,26255,R28491,932-029,19-02-2021 00:52,Glu,2,12,4217,2.408,29.07,27.62,6.0420000000000025,Approved,1.38,0.11,0.8,,,0.1,,5.27,138.0,0.12
932-029-R28491-N001-A15-Approved,26255,R28491,932-029,19-02-2021 00:46,Glu,1,15,4225,2.477,28.87,27.64,5.96,Approved,1.33,0.09,0.5,,,2.0,,1.49,156.0,2.53
932-029-R28444-N008-A12-Approved,26193,R28444,932-029,18-02-2021 23:18,Glu,8,12,615,2.449,28.79,27.35,6.85,Approved,1.42,0.16,2.4,,,2.9,,4.1,94.0,0.37
932-029-R28444-N003-A7-Approved,26193,R28444,932-029,18-02-2021 23:02,Glu,3,7,619,2.463,29.38,27.04,5.789,Approved,1.47,0.05,0.9,,,1.5,,3.04,550.0,2.35
932-029-R28444-N002-A15-Approved,26193,R28444,932-029,18-02-2021 23:00,Glu,2,15,620,2.532,29.51,26.98,5.539,Approved,1.52,0.11,1.4,,,1.4,,2.71,227.0,1.56
932-029-R28444-N001-A8-Approved,26193,R28444,932-029,18-02-2021 22:56,Glu,1,8,622,2.508,29.56,26.93,6.171,Approved,1.6,0.21,3.2,,,0.7,,4.68,96.0,0.67
932-029-R28481-N001-A15-Approved,26245,R28481,932-029,18-02-2021 13:50,Glu,1,15,4989,2.532,30.64,26.77,6.228,Approved,1.45,0.12,1.5,,,0.4,,4.27,350.0,0.03
932-029-R28521-N007-A15-Approved,26330,R28521,932-029,18-02-2021 08:24,Glu,7,15,941,2.445,30.56,26.06,5.6320000000000014,Approved,1.65,0.1,0.4,,,0.6,,6.08,290.0,0.16
932-029-R28521-N003-A15-Approved,26330,R28521,932-029,18-02-2021 08:08,Glu,3,15,934,2.472,30.91,25.89,6.215,Approved,1.73,0.07,0.7,,,1.6,,4.58,195.0,1.59
932-029-R28428-N008-A11-Approved,26177,R28428,932-029,17-02-2021 13:56,Glu,8,11,1338,1.8969999999999998,31.75,25.57,6.191,Approved,1.68,0.11,0.5,,,0.1,,4.27,39.0,0.55
932-029-R28428-N003-A14-Approved,26177,R28428,932-029,17-02-2021 13:40,Glu,3,14,1339,2.073,30.99,25.78,6.212999999999999,Approved,1.62,0.11,0.7,,,0.1,,4.89,34.0,0.07
932-029-R28428-N002-A2-Approved,26177,R28428,932-029,17-02-2021 13:38,Glu,2,2,1343,1.739,31.11,25.8,6.484,Approved,1.72,0.11,1.8,,,1.5,,5.08,223.0,0.02
932-029-R28428-N001-A5-Approved,26177,R28428,932-029,17-02-2021 13:34,Glu,1,5,1346,1.8030000000000002,31.11,25.8,6.29,Approved,1.63,0.1,0.7,,,0.5,,5.2,24.0,0.14
932-029-R28439-N008-A10-Approved,26188,R28439,932-029,17-02-2021 13:30,Glu,8,10,961,1.915,30.98,25.8,5.443,Approved,1.95,0.13,0.4,,,0.6,,3.95,284.0,0.75
932-029-R28439-N003-A3-Approved,26188,R28439,932-029,17-02-2021 13:16,Glu,3,3,990,1.992,32.15,25.55,5.846,Approved,1.95,0.13,0.2,,,0.1,,3.91,30.0,0.15
932-029-R28439-N002-A12-Approved,26188,R28439,932-029,17-02-2021 13:12,Glu,2,12,991,1.95,31.85,25.8,5.5760000000000005,Approved,1.87,0.14,0.4,,,0.0,,3.8,80.0,0.53
932-029-R28439-N001-A14-Approved,26188,R28439,932-029,17-02-2021 13:10,Glu,1,14,992,2.044,31.38,25.94,5.76,Approved,1.98,0.15,0.3,,,0.6,,4.28,118.0,0.21
932-029-R28441-N008-A14-Approved,26190,R28441,932-029,17-02-2021 09:06,Glu,8,14,9277,2.42,29.29,26.96,5.409,Approved,1.58,0.05,0.5,,,2.1,,1.91,151.0,2.65
932-029-R28441-N003-A9-Approved,26190,R28441,932-029,17-02-2021 08:50,Glu,3,9,9276,2.383,30.08,26.51,5.723,Approved,1.6,0.07,0.4,,,2.8,,2.91,55.0,2.08
932-029-R28441-N002-A4-Approved,26190,R28441,932-029,17-02-2021 08:48,Glu,2,4,9274,2.395,30.19,26.66,5.7589999999999995,Approved,1.62,0.07,0.2,,,4.5,,1.1,38.0,2.92
932-029-R28441-N001-A16-Approved,26190,R28441,932-029,17-02-2021 08:42,Glu,1,16,9278,2.354,28.91,27.65,5.306,Approved,1.62,0.07,0.7,,,0.8,,4.76,97.0,0.82
932-029-R28462-N008-A2-Approved,26211,R28462,932-029,17-02-2021 08:14,Glu,8,2,1328,2.025,29.46,27.28,5.585,Approved,1.55,0.15,0.2,,,0.6,,5.19,167.0,0.23
932-029-R28462-N003-A2-Approved,26211,R28462,932-029,17-02-2021 07:56,Glu,3,2,1332,2.044,29.83,26.77,5.892,Approved,1.62,0.1,0.3,,,1.6,,4.54,45.0,1.47
932-029-R28462-N002-A3-Approved,26211,R28462,932-029,17-02-2021 07:52,Glu,2,3,1330,2.066,30.42,26.45,6.096,Approved,1.5,0.1,0.8,,,0.3,,4.26,147.0,0.86
932-029-R28462-N001-A1-Approved,26211,R28462,932-029,17-02-2021 07:48,Glu,1,1,1329,2.0909999999999997,29.71,26.63,6.0089999999999995,Approved,1.53,0.18,0.2,,,0.4,,4.94,50.0,0.03
932-029-R28433-N008-A13-Approved,26182,R28433,932-029,17-02-2021 02:10,Glu,8,13,8423,2.616,30.02,26.52,6.087999999999999,Approved,1.57,0.02,0.8,,,2.4,,0.0,63.0,2.7
932-029-R28433-N003-A14-Approved,26182,R28433,932-029,17-02-2021 01:56,Glu,3,14,8439,2.441,30.03,26.7,6.021,Approved,1.5,0.02,0.4,,,3.2,,2.09,12.0,1.71
932-029-R28433-N002-A9-Approved,26182,R28433,932-029,17-02-2021 01:52,Glu,2,9,8448,2.5269999999999997,29.63,26.77,6.535,Approved,1.62,0.08,0.2,,,4.6,,1.47,260.0,2.57
932-029-R28433-N001-A16-Approved,26182,R28433,932-029,17-02-2021 01:50,Glu,1,16,8454,2.524,29.56,26.82,5.546,Approved,1.58,0.03,1.2,,,0.3,,0.37,259.0,3.01
932-029-R28424-N008-A12-Approved,26173,R28424,932-029,16-02-2021 23:10,Glu,8,12,1221,2.347,29.8,26.49,6.148,Approved,0.88,0.12,0.3,,,0.8,,4.53,34.0,0.08
932-029-R28424-N003-A5-Approved,26173,R28424,932-029,16-02-2021 22:54,Glu,3,5,1225,2.4019999999999997,29.95,26.15,6.683,Approved,0.92,0.06,0.6,,,2.3,,0.01,138.0,3.71
